lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
0,0,0,42,Y,4.1775835303139608e-01,-4.1845728182989056e-01,5.9129395248384287e-01,3.795223e-09,4.018804e-12,1.000000,4.1836404112053716e-01,-4.1836687289421604e-01,5.9165810333163837e-01,2.885375e-05,1.035055e-03,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,385.8
0,0,0,45,N,-4.1785368229436293e-01,4.1861575752434832e-01,5.9147345862231415e-01,3.884092e-09,5.714222e-12,1.000000,4.1836404112053716e-01,-4.1836687289421604e-01,5.9165810333163837e-01,2.885375e-05,1.999688e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,384.3
0,0,0,99,N,-4.1760494651178892e-01,4.1855326901747436e-01,5.9125352460372560e-01,3.689051e-09,5.069783e-12,1.000000,4.1836404112053716e-01,-4.1836687289421604e-01,5.9165810333163837e-01,2.885375e-05,1.999316e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,383.2
0.05,0,0,42,N,-4.2117703484873414e-01,4.1615945003722676e-01,5.9209693677577735e-01,6.838152e-06,1.295636e-05,0.999985,4.1947602637676668e-01,-4.1722096197333353e-01,5.9163626309988437e-01,2.819782e-05,2.000776e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,383.2
0.05,0,0,45,N,-4.1907586994882484e-01,4.1734585986430855e-01,5.9144074218745146e-01,6.462594e-06,1.295585e-05,0.999989,4.1947602637676668e-01,-4.1722096197333353e-01,5.9163626309988437e-01,2.819782e-05,1.999669e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,385.9
0.05,0,0,99,Y,4.1963681898939997e-01,-4.1692310800647142e-01,5.9154030956589787e-01,6.511207e-06,1.272908e-05,0.999990,4.1947602637676668e-01,-4.1722096197333353e-01,5.9163626309988437e-01,2.819782e-05,5.721146e-04,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,394.0
0.1,0,0,42,N,4.2362609015358704e-01,-4.1425595728869924e-01,5.9250912432467373e-01,1.284999e-05,5.399621e-05,0.999944,4.1366088541155127e-01,-4.1857994035444773e-01,5.8849341082683460e-01,3.416428e-03,1.845879e-02,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,390.1
0.1,0,0,45,Y,4.2160636626889936e-01,-4.0674874977876807e-01,5.8582973083060252e-01,5.172361e-06,1.063996e-05,0.999992,4.1366088541155127e-01,-4.1857994035444773e-01,5.8849341082683460e-01,3.416428e-03,2.421707e-02,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,385.1
0.1,0,0,99,N,4.2501052300576347e-01,-4.1415725722987745e-01,5.9343085391796702e-01,1.221184e-05,4.355213e-05,0.999965,4.1366088541155127e-01,-4.1857994035444773e-01,5.8849341082683460e-01,3.416428e-03,2.069845e-02,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,387.5
0.15,0,0,42,Y,4.2870791447952278e-01,-3.8524431431003692e-01,5.7637111104356398e-01,7.434719e-06,1.741147e-05,0.999978,3.6774430674153513e-01,-4.4449409738860773e-01,5.7689763195399357e-01,2.717475e-02,1.473612e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,384.8
0.15,0,0,45,N,4.2887176385735959e-01,-3.9186512129534107e-01,5.8093826102429780e-01,7.043567e-06,1.782761e-05,0.999987,3.6774430674153513e-01,-4.4449409738860773e-01,5.7689763195399357e-01,2.717475e-02,1.398205e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,386.8
0.15,0,0,99,N,-4.2155435453153434e-01,4.1483846159291687e-01,5.9143809738744135e-01,1.778016e-05,9.893552e-05,0.999927,3.6774430674153513e-01,-4.4449409738860773e-01,5.7689763195399357e-01,2.717475e-02,2.022559e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,408.3
0.2,0,0,42,Y,-4.3097276610749602e-01,3.6771866454008162e-01,5.6652850005757660e-01,9.259421e-06,2.622768e-05,0.999966,5.6773347902228222e-01,-3.1765119085785581e-01,6.5055636362744007e-01,7.191249e-02,1.861880e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,444.4
0.2,0,0,45,N,4.3316492739521112e-01,-4.1213577276420099e-01,5.9790279269898350e-01,2.250508e-05,1.984388e-04,0.999878,5.6773347902228222e-01,-3.1765119085785581e-01,6.5055636362744007e-01,7.191249e-02,2.527473e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,482.1
0.2,0,0,99,N,4.2277965224246344e-01,-4.1364440212949777e-01,5.9147639493332960e-01,2.313371e-05,1.658044e-04,0.999875,5.6773347902228222e-01,-3.1765119085785581e-01,6.5055636362744007e-01,7.191249e-02,2.672438e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,511.9
