lam,seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file
0,42,0,0,N,,-0.293428370892314,0.320364464836272,0.434434804285232,0.000000002652368,5.262501E-12,1,0.29234033787514,-0.321987705171879,15000,16,1,1,1,0.01,16,0.25,0.5,283.9,warm_start_weights/seed42_step00_lam0.0000_xi0.25_xf0.5.pt
0,45,0,0,N,,-0.293377925350085,0.320348607587652,0.434389039302406,0.00000000277285,3.77066E-12,1,0.29234033787514,-0.321987705171879,15000,16,1,1,1,0.01,16,0.25,0.5,286.4,warm_start_weights/seed45_step00_lam0.0000_xi0.25_xf0.5.pt
0,99,0,0,N,,-0.293440450876603,0.3202789371098,0.43437989797739,0.000000002758397,4.890228E-12,1,0.29234033787514,-0.321987705171879,15000,16,1,1,1,0.01,16,0.25,0.5,286.1,warm_start_weights/seed99_step00_lam0.0000_xi0.25_xf0.5.pt
0.05,42,1,0.05,Y,0,-0.294450517327576,0.320783246581131,0.435434264202541,0.000005103571,0.00001534872,0.999986,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,114.1,warm_start_weights/seed42_step01_lam0.0500_xi0.25_xf0.5.pt
0.05,45,1,0.05,Y,0,-0.294578050280393,0.320654839293275,0.435425945103405,0.000004874052,0.00001278403,0.999988,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,114.8,warm_start_weights/seed45_step01_lam0.0500_xi0.25_xf0.5.pt
0.05,99,1,0.05,Y,0,-0.294905976987635,0.320048611922762,0.435201848866383,0.000005245768,0.000012311,0.999985,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113.2,warm_start_weights/seed99_step01_lam0.0500_xi0.25_xf0.5.pt
0.1,42,2,0.1,Y,0.05,-0.295481037525468,0.321250159777454,0.436475324267211,0.000009766068,0.00005602885,0.999951,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113.8,warm_start_weights/seed42_step02_lam0.1000_xi0.25_xf0.5.pt
0.1,45,2,0.1,Y,0.05,-0.295542226000465,0.321136823383184,0.436433347353238,0.000009409553,0.00004710757,0.999954,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113.8,warm_start_weights/seed45_step02_lam0.1000_xi0.25_xf0.5.pt
0.1,99,2,0.1,Y,0.05,-0.295726798591533,0.320743480199056,0.436269090694492,0.00001003334,0.00004391664,0.999947,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,112.5,warm_start_weights/seed99_step02_lam0.1000_xi0.25_xf0.5.pt
0.15,42,3,0.15,Y,0.1,-0.297786646761996,0.32122511801451,0.43802107647143,0.00001407432,0.0001166492,0.999899,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,114.9,warm_start_weights/seed42_step03_lam0.1500_xi0.25_xf0.5.pt
0.15,45,3,0.15,Y,0.1,-0.296829923613691,0.321444531457814,0.4375323877802,0.00001356649,0.00009827435,0.999904,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,115.1,warm_start_weights/seed45_step03_lam0.1500_xi0.25_xf0.5.pt
0.15,99,3,0.15,Y,0.1,-0.29741416534114,0.320765069699942,0.437430469543647,0.00001434401,0.00008919147,0.999892,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,115.3,warm_start_weights/seed99_step03_lam0.1500_xi0.25_xf0.5.pt
0.2,42,4,0.2,Y,0.15,-0.302169928114441,0.321320388477338,0.441082143719187,0.00001815495,0.0001910687,0.999834,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113.7,warm_start_weights/seed42_step04_lam0.2000_xi0.25_xf0.5.pt
0.2,45,4,0.2,Y,0.15,-0.299862879872017,0.321045859431693,0.439304211888953,0.00001756286,0.0001626946,0.999841,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,112.5,warm_start_weights/seed45_step04_lam0.2000_xi0.25_xf0.5.pt
0.2,99,4,0.2,Y,0.15,-0.299361729489057,0.32099427644844,0.43892456139448,0.00001843901,0.0001465809,0.999825,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,114,warm_start_weights/seed99_step04_lam0.2000_xi0.25_xf0.5.pt
0.3,42,5,0.3,Y,0.2,-0.301595554089328,0.323037630892689,0.441942518003427,0.00002655231,0.0004027105,0.999648,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,114.3,warm_start_weights/seed42_step05_lam0.3000_xi0.25_xf0.5.pt
0.3,45,5,0.3,Y,0.2,-0.300945326999789,0.322172621570751,0.440866519405568,0.00002596902,0.0003512103,0.999657,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113.3,warm_start_weights/seed45_step05_lam0.3000_xi0.25_xf0.5.pt
0.3,99,5,0.3,Y,0.2,-0.301277680633286,0.322187465752164,0.441104300518113,0.00002726638,0.0003054616,0.999625,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,114.1,warm_start_weights/seed99_step05_lam0.3000_xi0.25_xf0.5.pt
0.4,42,6,0.4,Y,0.3,-0.302167032941855,0.32371890548357,0.442830493038098,0.00003513462,0.0007037137,0.999389,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,114.6,warm_start_weights/seed42_step06_lam0.4000_xi0.25_xf0.5.pt
0.4,45,6,0.4,Y,0.3,-0.302058066885274,0.323688128182551,0.442733644640649,0.00003473107,0.000622509,0.99939,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,114.3,warm_start_weights/seed45_step06_lam0.4000_xi0.25_xf0.5.pt
0.4,99,6,0.4,Y,0.3,-0.30217312329048,0.323631152028618,0.442770503762947,0.0000364679,0.0005297473,0.999336,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113,warm_start_weights/seed99_step06_lam0.4000_xi0.25_xf0.5.pt
0.5,42,7,0.5,Y,0.4,-0.304457357197436,0.324414010146818,0.444903059476092,0.00004433969,0.001105994,0.999039,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,113.5,warm_start_weights/seed42_step07_lam0.5000_xi0.25_xf0.5.pt
0.5,45,7,0.5,Y,0.4,-0.304349273649228,0.324428763377669,0.444839862060018,0.00004397089,0.0009832743,0.999032,0.29234033787514,-0.321987705171879,6000,16,1,1,1,0.01,16,0.25,0.5,111.1,warm_start_weights/seed45_step07_lam0.5000_xi0.25_xf0.5.pt
