lam,seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file
0,42,0,0,N,,0.331865411538188,-0.280622206559755,0.434607264308682,0.000000002698806,5.305158E-12,1,0.331187194374958,-0.281875855143443,15000,16,1,1,1,0.01,16,0,0.5,308.1,warm_start_weights/seed42_step00_lam0.0000_xi0_xf0.5.pt
0,45,0,0,N,,0.331868641021355,-0.28058868891735,0.434588089162276,0.000000002461049,3.599166E-12,1,0.331187194374958,-0.281875855143443,15000,16,1,1,1,0.01,16,0,0.5,289,warm_start_weights/seed45_step00_lam0.0000_xi0_xf0.5.pt
0,99,0,0,N,,0.331951707881092,-0.280510908618196,0.434601318703683,0.000000002572202,4.133923E-12,1,0.331187194374958,-0.281875855143443,15000,16,1,1,1,0.01,16,0,0.5,288.4,warm_start_weights/seed99_step00_lam0.0000_xi0_xf0.5.pt
0.05,42,1,0.05,Y,0,0.332568758770737,-0.280560724793396,0.435104929421518,0.000003924289,0.000008259388,0.999992,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,116,warm_start_weights/seed42_step01_lam0.0500_xi0_xf0.5.pt
0.05,45,1,0.05,Y,0,0.332732704633736,-0.280477697561711,0.435176736007797,0.000003643077,0.000006824935,0.999993,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,118.5,warm_start_weights/seed45_step01_lam0.0500_xi0_xf0.5.pt
0.05,99,1,0.05,Y,0,0.332886290681498,-0.280117473155637,0.435062157962268,0.000004234244,0.000007901524,0.99999,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,115,warm_start_weights/seed99_step01_lam0.0500_xi0_xf0.5.pt
0.1,42,2,0.1,Y,0.05,0.333303829395439,-0.280476898405327,0.435613054474651,0.000007501037,0.00002926168,0.99997,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,116.2,warm_start_weights/seed42_step02_lam0.1000_xi0_xf0.5.pt
0.1,45,2,0.1,Y,0.05,0.333438953541471,-0.280412661621975,0.435675104334355,0.000007159852,0.00002630924,0.999973,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,110,warm_start_weights/seed45_step02_lam0.1000_xi0_xf0.5.pt
0.1,99,2,0.1,Y,0.05,0.333612202736118,-0.280087424485058,0.435598516031813,0.000008079582,0.00002811074,0.999964,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,114.2,warm_start_weights/seed99_step02_lam0.1000_xi0_xf0.5.pt
0.15,42,3,0.15,Y,0.1,0.3343271111701,-0.280224786272328,0.436234510446751,0.00001076453,0.0000619239,0.999938,0.331187194374958,-0.281875855143443,6000,16,1,1,1,0.01,16,0,0.5,115.9,warm_start_weights/seed42_step03_lam0.1500_xi0_xf0.5.pt
