lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
0,0,0,42,Y,1.59E+26,5.82E+25,1.69E+26,inf,2.83E+03,0.0001,4.18E-01,-4.18E-01,5.92E-01,2.89E-05,2.86E+26,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0,0,0,45,N,nan,nan,nan,nan,3.56E+03,0.000099,4.18E-01,-4.18E-01,5.92E-01,2.89E-05,nan,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.7
0,0,0,99,N,-3.07E+25,-4.22E+25,5.22E+25,inf,3.21E+03,0.000162,4.18E-01,-4.18E-01,5.92E-01,2.89E-05,8.83E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.05,0,0,42,Y,1.60E+26,5.22E+25,1.69E+26,inf,2.83E+03,0.0001,4.19E-01,-4.17E-01,5.92E-01,2.82E-05,2.85E+26,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0.05,0,0,45,N,nan,nan,nan,nan,3.56E+03,0.000099,4.19E-01,-4.17E-01,5.92E-01,2.82E-05,nan,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.05,0,0,99,N,-3.18E+25,-3.75E+25,4.92E+25,inf,3.21E+03,0.000163,4.19E-01,-4.17E-01,5.92E-01,2.82E-05,8.31E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.1,0,0,42,Y,1.61E+26,4.67E+25,1.68E+26,inf,2.83E+03,0.0001,4.14E-01,-4.19E-01,5.88E-01,3.42E-03,2.85E+26,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0.1,0,0,45,N,nan,nan,nan,nan,3.55E+03,0.000099,4.14E-01,-4.19E-01,5.88E-01,3.42E-03,nan,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0.1,0,0,99,N,-3.24E+25,-3.28E+25,4.61E+25,inf,3.21E+03,0.000164,4.14E-01,-4.19E-01,5.88E-01,3.42E-03,7.83E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.15,0,0,42,Y,1.62E+26,4.11E+25,1.67E+26,inf,2.83E+03,0.0001,3.68E-01,-4.44E-01,5.77E-01,2.72E-02,2.90E+26,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0.15,0,0,45,N,nan,nan,nan,nan,3.55E+03,0.000099,3.68E-01,-4.44E-01,5.77E-01,2.72E-02,nan,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0.15,0,0,99,N,-3.24E+25,-2.81E+25,4.29E+25,inf,3.21E+03,0.000165,3.68E-01,-4.44E-01,5.77E-01,2.72E-02,7.44E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.2,0,0,42,Y,1.62E+26,3.58E+25,1.66E+26,inf,2.83E+03,0.0001,5.68E-01,-3.18E-01,6.51E-01,7.19E-02,2.56E+26,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0.2,0,0,45,N,nan,nan,nan,nan,3.55E+03,0.000098,5.68E-01,-3.18E-01,6.51E-01,7.19E-02,nan,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.2,0,0,99,N,-3.20E+25,-2.35E+25,3.97E+25,inf,3.20E+03,0.000166,5.68E-01,-3.18E-01,6.51E-01,7.19E-02,6.10E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.3,0,0,42,Y,2.79E+26,1.12E+25,2.79E+26,inf,2.83E+03,0.000101,6.24E-02,-7.03E-01,7.06E-01,1.63E-01,3.95E+26,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0.3,0,0,45,N,nan,nan,nan,nan,3.55E+03,0.000098,6.24E-02,-7.03E-01,7.06E-01,1.63E-01,nan,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.3,0,0,99,N,-4.53E+25,-1.42E+25,4.75E+25,inf,3.20E+03,0.000133,6.24E-02,-7.03E-01,7.06E-01,1.63E-01,6.73E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.4,0,0,42,Y,1.75E+26,-1.83E+25,1.76E+26,inf,2.82E+03,0.0001,9.05E-01,-9.45E-01,1.31E+00,2.09E-01,1.35E+26,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
0.4,0,0,45,N,nan,nan,nan,nan,3.55E+03,0.000098,9.05E-01,-9.45E-01,1.31E+00,2.09E-01,nan,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
0.4,0,0,99,N,-4.12E+25,-2.61E+24,4.13E+25,inf,3.20E+03,0.000135,9.05E-01,-9.45E-01,1.31E+00,2.09E-01,3.16E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
