T,seed,T,lam,chain_dir,warm_from_T,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,m,omega,eps,rank,x_i,x_f,time_s,weight_file
0.5,42,0.5,0.1,down,1,-4.33E-01,2.98E-01,5.26E-01,4.69E-06,7.80E-06,0.999992,4.07E-01,-4.07E-01,6000,16,1,1,0.01,16,0,0,323,warm_start_weights\Tscan_seed42_T0.5000_lam0.1000.pt
0.5,45,0.5,0.1,down,1,4.92E-01,-3.19E-01,5.86E-01,4.79E-06,6.03E-06,0.999994,4.07E-01,-4.07E-01,6000,16,1,1,0.01,16,0,0,325.9,warm_start_weights\Tscan_seed45_T0.5000_lam0.1000.pt
0.5,99,0.5,0.1,down,1,-5.16E-01,3.43E-01,6.20E-01,5.17E-06,5.66E-06,0.999993,4.07E-01,-4.07E-01,6000,16,1,1,0.01,16,0,0,339,warm_start_weights\Tscan_seed99_T0.5000_lam0.1000.pt
1,42,1,0.1,anchor,,-3.14E-01,3.01E-01,4.35E-01,3.66E-06,6.86E-06,0.999994,3.08E-01,-3.08E-01,3000,16,1,1,0.01,16,0,0,196.2,warm_start_weights\Tscan_seed42_T1.0000_lam0.1000.pt
1,45,1,0.1,anchor,,3.11E-01,-3.02E-01,4.34E-01,4.12E-06,8.10E-06,0.999993,3.08E-01,-3.08E-01,3000,16,1,1,0.01,16,0,0,159.1,warm_start_weights\Tscan_seed45_T1.0000_lam0.1000.pt
1,99,1,0.1,anchor,,-3.21E-01,3.00E-01,4.40E-01,3.86E-06,6.81E-06,0.999993,3.08E-01,-3.08E-01,3000,16,1,1,0.01,16,0,0,166.8,warm_start_weights\Tscan_seed99_T1.0000_lam0.1000.pt
2.1,42,2.1,0.1,up,1,-2.66E-01,1.88E-01,3.26E-01,1.11E-05,1.38E-04,0.999883,3.04E-01,-3.04E-01,6000,16,1,1,0.01,16,0,0,320.2,warm_start_weights\Tscan_seed42_T2.1000_lam0.1000.pt
2.1,45,2.1,0.1,up,1,2.46E-01,-1.69E-01,2.98E-01,9.61E-06,8.07E-05,0.999882,3.04E-01,-3.04E-01,6000,16,1,1,0.01,16,0,0,327.6,warm_start_weights\Tscan_seed45_T2.1000_lam0.1000.pt
2.1,99,2.1,0.1,up,1,-2.55E-01,1.48E-01,2.95E-01,1.12E-05,1.08E-04,0.999867,3.04E-01,-3.04E-01,6000,16,1,1,0.01,16,0,0,339.5,warm_start_weights\Tscan_seed99_T2.1000_lam0.1000.pt
2.7,42,2.7,0.1,up,2.1,-2.29E-01,1.40E-01,2.68E-01,1.00E-05,1.36E-04,0.999857,4.32E-01,-4.32E-01,6000,16,1,1,0.01,16,0,0,353.3,warm_start_weights\Tscan_seed42_T2.7000_lam0.1000.pt
