seed,lam,seed,ladder_step,lam,warm_start,,,lambda,Pet_Real,Pet_Imag,abs_K,K_re,K_im,abs_K,ML_Imag,ML_Real,,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file
45,0,45,0,0,N,0.000291645,0.000101399,0,0.307522,-0.307522,0.434901,0.307230355,-0.307623399,0.434767348,-0.307230355,0.307623399,-0.000101399,2.60075E-09,4.35E-12,1,0.307521508,-0.307521508,15000,16,1,1,1,0.01,16,0,0,1411.9,warm_start_weights/seed45_step00_lam0.0000_xi0_xf0.pt
45,0.01,45,1,0.01,Y,0.000174436,-9.07795E-06,0.01,0.307432,-0.307611,0.434901,0.307257564,-0.307601922,0.434771381,-0.307257564,0.307601922,-0.000169922,4.7581E-07,1.17346E-07,1,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,567.2,warm_start_weights/seed45_step01_lam0.0100_xi0_xf0.pt
45,0.05,45,2,0.05,Y,-0.000539868,-0.000722202,0.05,0.307074,-0.307969,0.434902,0.307613868,-0.307246798,0.434772224,-0.307613868,0.307246798,-0.000172798,2.34079E-06,2.82085E-06,0.999997,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,550.4,warm_start_weights/seed45_step02_lam0.0500_xi0_xf0.pt
45,0.1,45,3,0.1,Y,-0.001419423,-0.001615124,0.1,0.306626,-0.308417,0.434903,0.308045423,-0.306801876,0.434763583,-0.308045423,0.306801876,-0.000175876,4.54938E-06,1.07297E-05,0.999989,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,554.1,warm_start_weights/seed45_step03_lam0.1000_xi0_xf0.pt
45,0.15,45,4,0.15,Y,-0.00235344,-0.002548893,0.15,0.306178,-0.308865,0.434905,0.30853144,-0.306316107,0.434765692,-0.30853144,0.306316107,-0.000138107,6.60381E-06,2.31322E-05,0.999978,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,555.8,warm_start_weights/seed45_step04_lam0.1500_xi0_xf0.pt
45,0.2,45,5,0.2,Y,-0.003320999,-0.003534945,0.2,0.305731,-0.309312,0.434908,0.309051999,-0.305777055,0.43475596,-0.309051999,0.305777055,-4.60546E-05,8.49217E-06,3.8932E-05,0.999963,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,560.5,warm_start_weights/seed45_step05_lam0.2000_xi0_xf0.pt
45,0.3,45,6,0.3,Y,-0.006647275,-0.006158255,0.3,0.304835,-0.310208,0.434918,0.311482275,-0.304049745,0.435278595,-0.311482275,0.304049745,0.000785255,1.20795E-05,7.87851E-05,0.999927,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,558.9,warm_start_weights/seed45_step06_lam0.3000_xi0_xf0.pt
45,0.4,45,7,0.4,Y,-0.007543769,-0.00743217,0.4,0.30394,-0.311103,0.434931,0.311483769,-0.30367083,0.43501507,-0.311483769,0.30367083,0.00026917,1.5467E-05,0.00012695,0.99988,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,552.9,warm_start_weights/seed45_step07_lam0.4000_xi0_xf0.pt
45,0.5,45,8,0.5,Y,-0.008662652,-0.009001532,0.5,0.303045,-0.311998,0.434947,0.311707652,-0.302996468,0.434705096,-0.311707652,0.302996468,4.85317E-05,1.87964E-05,0.000184579,0.999823,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,551.6,warm_start_weights/seed45_step08_lam0.5000_xi0_xf0.pt
45,0.6,45,9,0.6,Y,-0.010127772,-0.010781126,0.6,0.302149,-0.312894,0.434967,0.312276772,-0.302112874,0.434498528,-0.312276772,0.302112874,3.61259E-05,2.21399E-05,0.000255454,0.999755,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,551.5,warm_start_weights/seed45_step09_lam0.6000_xi0_xf0.pt
45,0.8,45,10,0.8,Y,-0.013437351,-0.014520266,0.8,0.300358,-0.314685,0.435019,0.313795351,-0.300164734,0.434242317,-0.313795351,0.300164734,0.000193266,2.89751E-05,0.00044176,0.999579,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,547.9,warm_start_weights/seed45_step10_lam0.8000_xi0_xf0.pt
45,1,45,11,1,Y,-0.016708192,-0.018304071,1,0.298568,-0.316475,0.435085,0.315276192,-0.298170929,0.433941217,-0.315276192,0.298170929,0.000397071,3.56379E-05,0.000674958,0.999359,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,548.7,warm_start_weights/seed45_step11_lam1.0000_xi0_xf0.pt
45,1.5,45,12,1.5,Y,-0.024582821,-0.027856025,1.5,0.294091,-0.320952,0.435316,0.318673821,-0.293095975,0.432964496,-0.318673821,0.293095975,0.000995025,5.09741E-05,0.001408767,0.998673,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,544.1,warm_start_weights/seed45_step12_lam1.5000_xi0_xf0.pt
45,2,45,13,2,Y,-0.032013281,-0.037481939,2,0.289614,-0.325429,0.435638,0.321627281,-0.287947061,0.431691577,-0.321627281,0.287947061,0.001666939,6.46406E-05,0.002308496,0.99784,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,561.8,warm_start_weights/seed45_step13_lam2.0000_xi0_xf0.pt
45,3,45,14,3,Y,-0.045703101,-0.056732115,3,0.28066,-0.334383,0.436557,0.326363101,-0.277650885,0.428489076,-0.326363101,0.277650885,0.003009115,8.79292E-05,0.004412679,0.995934,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,556.1,warm_start_weights/seed45_step14_lam3.0000_xi0_xf0.pt
45,4,45,15,4,Y,-0.058100674,-0.075705288,4,0.271706,-0.343337,0.437841,0.329806674,-0.267631712,0.424734241,-0.329806674,0.267631712,0.004074288,0.000106942,0.006633766,0.993891,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,559.5,warm_start_weights/seed45_step15_lam4.0000_xi0_xf0.pt
45,6,45,16,6,Y,-0.080084313,-0.112292099,6,0.253799,-0.361244,0.441488,0.333883313,-0.248951901,0.41647943,-0.333883313,0.248951901,0.004847099,0.000135942,0.01113124,0.989761,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,553.8,warm_start_weights/seed45_step16_lam6.0000_xi0_xf0.pt
45,8,45,17,8,Y,-0.099563471,-0.146968816,8,0.235891,-0.379152,0.446543,0.335454471,-0.232183184,0.407969034,-0.335454471,0.232183184,0.003707816,0.000156798,0.01504773,0.985821,0.307521508,-0.307521508,6000,16,1,1,1,0.01,16,0,0,561,warm_start_weights/seed45_step17_lam8.0000_xi0_xf0.pt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
