seed,T,lam,chain_dir,warm_from_T,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,m,omega,eps,rank,x_i,x_f,time_s,weight_file
42,1.0000,0.1000,anchor,,-4.1981821353861376e-01,4.1627935894651941e-01,5.9121555891542488e-01,1.268083e-05,7.597796e-05,0.999953,4.1836667621661972e-01,-4.1836667621661966e-01,15000,16,1.0,2,0.01,16,0,0,801.7,warm_start_weights\Tscan_seed42_T1.0000_lam0.1000.pt
42,0.5000,0.1000,down,1.0000,-4.6060106300383147e-01,3.6244202452591234e-01,5.8610371128555527e-01,2.380635e-06,1.603772e-06,0.999998,4.3490108695058904e-01,-4.3490108695058910e-01,12000,16,1.0,2,0.01,16,0,0,821.3,warm_start_weights\Tscan_seed42_T0.5000_lam0.1000.pt
42,2.1000,0.1000,up,1.0000,5.4166172702143356e-01,8.0005983650027790e-01,9.6617450209612410e-01,8.227362e-05,6.653998e-04,0.999308,4.2732420279356798e-01,4.2732420279356792e-01,12000,16,1.0,2,0.01,16,0,0,852.7,warm_start_weights\Tscan_seed42_T2.1000_lam0.1000.pt
42,2.7000,0.1000,up,2.1000,3.7418969744114017e-01,5.0689464095366976e-01,6.3004770192314941e-01,4.525100e-05,4.419475e-04,0.999511,4.5382298486198630e-01,4.5382298486198630e-01,12000,16,1.0,2,0.01,16,0,0,860.1,warm_start_weights\Tscan_seed42_T2.7000_lam0.1000.pt
42,3.6000,0.1000,up,2.7000,-3.9105734126236452e-01,6.2668200732226709e-01,7.3868544215833543e-01,6.347212e-05,6.729880e-04,0.999288,4.4780678331914403e-01,-4.4780678331914403e-01,12000,16,1.0,2,0.01,16,0,0,860.5,warm_start_weights\Tscan_seed42_T3.6000_lam0.1000.pt
42,4.3000,0.1000,up,3.6000,-5.9857763860837776e-01,3.5501440932362549e-01,6.9593851759288650e-01,6.601450e-05,8.900774e-04,0.999093,4.6552669474670993e-01,-4.6552669474670988e-01,12000,16,1.0,2,0.01,16,0,0,857.3,warm_start_weights\Tscan_seed42_T4.3000_lam0.1000.pt
42,5.3000,0.1000,up,4.3000,-5.5776990400628468e-01,-3.4125103843243454e-01,6.5388036906332869e-01,6.688355e-05,9.336028e-04,0.998953,4.1530011999996747e-01,4.1530011999996747e-01,12000,16,1.0,2,0.01,16,0,0,860.8,warm_start_weights\Tscan_seed42_T5.3000_lam0.1000.pt
42,5.9000,0.1000,up,5.3000,2.9582531853240579e+00,-2.1439452238304688e+00,3.6534590501694981e+00,7.829316e-03,3.110235e-01,0.689347,4.7904794199857692e-01,4.7904794199857698e-01,12000,16,1.0,2,0.01,16,0,0,856.9,warm_start_weights\Tscan_seed42_T5.9000_lam0.1000.pt
42,6.7000,0.1000,up,5.9000,3.8914830172614931e+00,-8.1783840443123379e-01,3.9764933961214171e+00,6.761678e-03,3.551417e-01,0.780834,4.6364323989756440e-01,-4.6364323989756440e-01,12000,16,1.0,2,0.01,16,0,0,922.3,warm_start_weights\Tscan_seed42_T6.7000_lam0.1000.pt
42,8.5000,0.1000,up,6.7000,-2.5640532400892774e-01,1.4742803386482028e+00,1.4964111089886973e+00,4.267520e-03,4.944326e-01,0.580084,4.0687272109459860e-01,4.0687272109459854e-01,12000,16,1.0,2,0.01,16,0,0,863.7,warm_start_weights\Tscan_seed42_T8.5000_lam0.1000.pt
