lam,seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file
0,42,0,0,N,,3.74E-01,-4.57E-01,5.91E-01,3.80E-09,4.30E-12,1,3.68E-01,-4.63E-01,15000,16,1,1,2,0.01,16,0.5,0,445.8,warm_start_weights\seed42_step00_lam0.0000_xi0.5_xf0.pt
0,45,0,0,N,,3.74E-01,-4.57E-01,5.91E-01,3.62E-09,3.80E-12,1,3.68E-01,-4.63E-01,15000,16,1,1,2,0.01,16,0.5,0,447.2,warm_start_weights\seed45_step00_lam0.0000_xi0.5_xf0.pt
0,99,0,0,N,,-3.74E-01,4.57E-01,5.91E-01,4.61E-08,5.71E-10,1,3.68E-01,-4.63E-01,15000,16,1,1,2,0.01,16,0.5,0,447.3,warm_start_weights\seed99_step00_lam0.0000_xi0.5_xf0.pt
0.05,42,1,0.05,Y,0,3.78E-01,-4.57E-01,5.93E-01,1.29E-05,5.02E-05,0.999953,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,178.6,warm_start_weights\seed42_step01_lam0.0500_xi0.5_xf0.pt
0.05,45,1,0.05,Y,0,3.76E-01,-4.58E-01,5.93E-01,1.23E-05,4.32E-05,0.999962,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,178.3,warm_start_weights\seed45_step01_lam0.0500_xi0.5_xf0.pt
0.05,99,1,0.05,Y,0,-3.78E-01,4.57E-01,5.93E-01,1.26E-05,3.63E-05,0.999953,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,180,warm_start_weights\seed99_step01_lam0.0500_xi0.5_xf0.pt
0.1,42,2,0.1,Y,0.05,4.00E-01,-4.47E-01,6.00E-01,2.45E-05,1.81E-04,0.999837,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,178.5,warm_start_weights\seed42_step02_lam0.1000_xi0.5_xf0.pt
0.1,45,2,0.1,Y,0.05,3.83E-01,-4.58E-01,5.97E-01,2.36E-05,1.58E-04,0.999864,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,177.6,warm_start_weights\seed45_step02_lam0.1000_xi0.5_xf0.pt
0.1,99,2,0.1,Y,0.05,-3.91E-01,4.54E-01,5.99E-01,2.43E-05,1.30E-04,0.99983,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,178.6,warm_start_weights\seed99_step02_lam0.1000_xi0.5_xf0.pt
0.2,42,3,0.2,Y,0.1,4.28E-01,-4.29E-01,6.05E-01,4.70E-05,6.44E-04,0.999407,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,180.9,warm_start_weights\seed42_step03_lam0.2000_xi0.5_xf0.pt
0.2,45,3,0.2,Y,0.1,3.96E-01,-4.59E-01,6.07E-01,4.68E-05,5.92E-04,0.999492,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,179.3,warm_start_weights\seed45_step03_lam0.2000_xi0.5_xf0.pt
0.2,99,3,0.2,Y,0.1,-4.06E-01,4.50E-01,6.06E-01,4.77E-05,4.62E-04,0.999365,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,179.4,warm_start_weights\seed99_step03_lam0.2000_xi0.5_xf0.pt
0.35,42,4,0.35,Y,0.2,4.23E-01,-4.38E-01,6.09E-01,3.73E-05,5.15E-04,0.999627,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,197.9,warm_start_weights\seed42_step04_lam0.3500_xi0.5_xf0.pt
0.35,45,4,0.35,Y,0.2,3.92E-01,-4.61E-01,6.06E-01,8.22E-05,1.86E-03,0.998434,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,181.1,warm_start_weights\seed45_step04_lam0.3500_xi0.5_xf0.pt
0.35,99,4,0.35,Y,0.2,-3.97E-01,4.59E-01,6.07E-01,8.45E-05,1.37E-03,0.998054,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,180.3,warm_start_weights\seed99_step04_lam0.3500_xi0.5_xf0.pt
0.5,42,5,0.5,Y,0.35,4.37E-01,-4.10E-01,5.99E-01,3.12E-05,3.19E-04,0.99971,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,177.1,warm_start_weights\seed42_step05_lam0.5000_xi0.5_xf0.pt
0.5,45,5,0.5,Y,0.35,3.99E-01,-4.62E-01,6.11E-01,1.19E-04,3.81E-03,0.996738,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,177.3,warm_start_weights\seed45_step05_lam0.5000_xi0.5_xf0.pt
0.5,99,5,0.5,Y,0.35,-3.99E-01,4.62E-01,6.11E-01,1.22E-04,2.78E-03,0.996015,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,178.3,warm_start_weights\seed99_step05_lam0.5000_xi0.5_xf0.pt
0.7,42,6,0.7,Y,0.5,4.42E-01,-3.90E-01,5.89E-01,2.93E-05,2.54E-04,0.999746,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,178.4,warm_start_weights\seed42_step06_lam0.7000_xi0.5_xf0.pt
0.7,45,6,0.7,Y,0.5,4.10E-01,-4.62E-01,6.18E-01,1.65E-04,7.29E-03,0.993648,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,178.1,warm_start_weights\seed45_step06_lam0.7000_xi0.5_xf0.pt
0.7,99,6,0.7,Y,0.5,-4.10E-01,4.62E-01,6.18E-01,1.69E-04,5.42E-03,0.992507,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,177.5,warm_start_weights\seed99_step06_lam0.7000_xi0.5_xf0.pt
1,42,7,1,Y,0.7,4.60E-01,-3.56E-01,5.81E-01,2.90E-05,2.18E-04,0.999759,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,182.3,warm_start_weights\seed42_step07_lam1.0000_xi0.5_xf0.pt
1,45,7,1,Y,0.7,4.26E-01,-4.59E-01,6.26E-01,2.24E-04,1.36E-02,0.988088,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,179.1,warm_start_weights\seed45_step07_lam1.0000_xi0.5_xf0.pt
1,99,7,1,Y,0.7,-4.26E-01,4.59E-01,6.26E-01,2.28E-04,1.05E-02,0.986845,3.68E-01,-4.63E-01,6000,16,1,1,2,0.01,16,0.5,0,178.1,warm_start_weights\seed99_step07_lam1.0000_xi0.5_xf0.pt
