x_i,x_f,lam,check_name,value_ML,value_ref,rel_error,passed
0.5,0,0.0,Chapman-Kolmogorov,2.3327297588e-01,2.3327297588e-01,6.544078e-15,Y
0.5,0,0.0,Spectral_E0,1.0000000000e+00,1.0000000000e+00,7.327472e-15,Y
0.5,0,0.0,x2_thermal,3.2825882137e-01,3.2825882137e-01,0.000000e+00,Y
0.5,0,0.05,Chapman-Kolmogorov,2.3297678566e-01,2.3297678566e-01,6.671533e-15,Y
0.5,0,0.05,Spectral_E0,1.0023310886e+00,1.0023310886e+00,6.867374e-15,Y
0.5,0,0.05,x2_thermal,3.2520456326e-01,3.2520456326e-01,1.706961e-16,Y
0.5,0,0.1,Chapman-Kolmogorov,2.3268208191e-01,2.3268208191e-01,6.202841e-15,Y
0.5,0,0.1,Spectral_E0,1.0046374568e+00,1.0046374568e+00,6.188550e-15,Y
0.5,0,0.1,x2_thermal,3.2229923635e-01,3.2229923635e-01,0.000000e+00,Y
0.5,0,0.2,Chapman-Kolmogorov,2.3209705805e-01,2.3209705805e-01,6.696820e-15,Y
0.5,0,0.2,Spectral_E0,1.0091794094e+00,1.0091794094e+00,6.600747e-15,Y
0.5,0,0.2,x2_thermal,3.1687739333e-01,3.1687739333e-01,1.751818e-16,Y
0.5,0,0.35,Chapman-Kolmogorov,2.3123020896e-01,2.3123020896e-01,6.721925e-15,Y
0.5,0,0.35,Spectral_E0,1.0158266976e+00,1.0158266976e+00,6.776139e-15,Y
0.5,0,0.35,x2_thermal,3.0955263582e-01,3.0955263582e-01,1.793270e-16,Y
0.5,0,0.5,Chapman-Kolmogorov,2.3037577032e-01,2.3037577032e-01,6.987816e-15,Y
0.5,0,0.5,Spectral_E0,1.0222910378e+00,1.0222910378e+00,6.516088e-15,Y
0.5,0,0.5,x2_thermal,3.0300640975e-01,3.0300640975e-01,1.832012e-16,Y
0.5,0,0.7,Chapman-Kolmogorov,2.2925507226e-01,2.2925507226e-01,6.537701e-15,Y
0.5,0,0.7,Spectral_E0,1.0306516144e+00,1.0306516144e+00,5.816907e-15,Y
0.5,0,0.7,x2_thermal,2.9523202562e-01,2.9523202562e-01,0.000000e+00,Y
0.5,0,1.0,Chapman-Kolmogorov,2.2761186091e-01,2.2761186091e-01,6.584899e-15,Y
0.5,0,1.0,Spectral_E0,1.0426978264e+00,1.0426978264e+00,6.601513e-15,Y
0.5,0,1.0,x2_thermal,2.8514063666e-01,2.8514063666e-01,5.840397e-16,Y
