lam,seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file
0,42,0,0,N,,-4.18E-01,4.18E-01,5.91E-01,3.70E-09,8.02E-12,1,4.18E-01,-4.18E-01,15000,16,1,1,2,0.01,16,0,0,491.9,warm_start_weights\seed42_step00_lam0.0000_xi0_xf0.pt
0,45,0,0,N,,4.18E-01,-4.18E-01,5.91E-01,3.79E-09,4.14E-12,1,4.18E-01,-4.18E-01,15000,16,1,1,2,0.01,16,0,0,458.2,warm_start_weights\seed45_step00_lam0.0000_xi0_xf0.pt
0,99,0,0,N,,-4.18E-01,4.18E-01,5.91E-01,3.65E-09,5.32E-12,1,4.18E-01,-4.18E-01,15000,16,1,1,2,0.01,16,0,0,451.7,warm_start_weights\seed99_step00_lam0.0000_xi0_xf0.pt
0.05,42,1,0.05,Y,0,-4.19E-01,4.17E-01,5.91E-01,6.84E-06,1.27E-05,0.999988,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,195.5,warm_start_weights\seed42_step01_lam0.0500_xi0_xf0.pt
0.05,45,1,0.05,Y,0,4.19E-01,-4.17E-01,5.91E-01,6.27E-06,9.46E-06,0.999989,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,183.4,warm_start_weights\seed45_step01_lam0.0500_xi0_xf0.pt
0.05,99,1,0.05,Y,0,-4.19E-01,4.17E-01,5.91E-01,6.88E-06,9.43E-06,0.999987,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,178.6,warm_start_weights\seed99_step01_lam0.0500_xi0_xf0.pt
0.1,42,2,0.1,Y,0.05,-4.20E-01,4.16E-01,5.91E-01,1.27E-05,4.72E-05,0.999958,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,200.7,warm_start_weights\seed42_step02_lam0.1000_xi0_xf0.pt
0.1,45,2,0.1,Y,0.05,4.20E-01,-4.16E-01,5.91E-01,1.21E-05,3.71E-05,0.999959,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,183.2,warm_start_weights\seed45_step02_lam0.1000_xi0_xf0.pt
0.1,99,2,0.1,Y,0.05,-4.20E-01,4.16E-01,5.91E-01,1.31E-05,3.41E-05,0.999952,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,181.6,warm_start_weights\seed99_step02_lam0.1000_xi0_xf0.pt
0.2,42,3,0.2,Y,0.1,-4.39E-01,4.06E-01,5.98E-01,2.36E-05,1.62E-04,0.999861,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,195.3,warm_start_weights\seed42_step03_lam0.2000_xi0_xf0.pt
0.2,45,3,0.2,Y,0.1,4.27E-01,-4.12E-01,5.93E-01,2.31E-05,1.30E-04,0.999851,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,185.9,warm_start_weights\seed45_step03_lam0.2000_xi0_xf0.pt
0.2,99,3,0.2,Y,0.1,-4.34E-01,4.11E-01,5.97E-01,2.46E-05,1.17E-04,0.999834,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,180.3,warm_start_weights\seed99_step03_lam0.2000_xi0_xf0.pt
0.35,42,4,0.35,Y,0.2,-4.49E-01,4.02E-01,6.03E-01,3.85E-05,4.39E-04,0.999634,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,202.6,warm_start_weights\seed42_step04_lam0.3500_xi0_xf0.pt
0.35,45,4,0.35,Y,0.2,4.32E-01,-4.09E-01,5.95E-01,3.85E-05,3.56E-04,0.99959,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,189.4,warm_start_weights\seed45_step04_lam0.3500_xi0_xf0.pt
0.35,99,4,0.35,Y,0.2,-4.43E-01,4.06E-01,6.01E-01,4.05E-05,3.14E-04,0.999557,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,180.3,warm_start_weights\seed99_step04_lam0.3500_xi0_xf0.pt
0.5,42,5,0.5,Y,0.35,-4.33E-01,4.06E-01,5.93E-01,5.22E-05,8.58E-04,0.999298,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,188,warm_start_weights\seed42_step05_lam0.5000_xi0_xf0.pt
0.5,45,5,0.5,Y,0.35,4.28E-01,-4.06E-01,5.90E-01,5.27E-05,6.95E-04,0.999231,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,193.8,warm_start_weights\seed45_step05_lam0.5000_xi0_xf0.pt
0.5,99,5,0.5,Y,0.35,-4.30E-01,4.06E-01,5.91E-01,5.44E-05,6.00E-04,0.999164,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,176.7,warm_start_weights\seed99_step05_lam0.5000_xi0_xf0.pt
0.7,42,6,0.7,Y,0.5,-4.32E-01,4.01E-01,5.89E-01,6.95E-05,1.60E-03,0.998719,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,184.8,warm_start_weights\seed42_step06_lam0.7000_xi0_xf0.pt
0.7,45,6,0.7,Y,0.5,4.31E-01,-4.01E-01,5.89E-01,7.03E-05,1.28E-03,0.99864,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,181.8,warm_start_weights\seed45_step06_lam0.7000_xi0_xf0.pt
0.7,99,6,0.7,Y,0.5,-4.31E-01,4.01E-01,5.89E-01,7.21E-05,1.13E-03,0.998504,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,178.9,warm_start_weights\seed99_step06_lam0.7000_xi0_xf0.pt
1,42,7,1,Y,0.7,-4.36E-01,3.93E-01,5.87E-01,9.23E-05,2.97E-03,0.997684,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,181.1,warm_start_weights\seed42_step07_lam1.0000_xi0_xf0.pt
1,45,7,1,Y,0.7,4.36E-01,-3.93E-01,5.87E-01,9.34E-05,2.36E-03,0.997589,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,177.2,warm_start_weights\seed45_step07_lam1.0000_xi0_xf0.pt
1,99,7,1,Y,0.7,-4.36E-01,3.93E-01,5.87E-01,9.58E-05,2.16E-03,0.997339,4.18E-01,-4.18E-01,6000,16,1,1,2,0.01,16,0,0,177.8,warm_start_weights\seed99_step07_lam1.0000_xi0_xf0.pt
