x_i,x_f,lam,check_name,value_ML,value_ref,rel_error,passed
0,0,0.0,Chapman-Kolmogorov,2.9625087610e-01,2.9625087610e-01,6.558260e-15,Y
0,0,0.0,Spectral_E0,1.0000000000e+00,1.0000000000e+00,7.327472e-15,Y
0,0,0.0,x2_thermal,3.2825882137e-01,3.2825882137e-01,0.000000e+00,Y
0,0,0.05,Chapman-Kolmogorov,2.9601796887e-01,2.9601796887e-01,7.125999e-15,Y
0,0,0.05,Spectral_E0,1.0023310886e+00,1.0023310886e+00,6.867374e-15,Y
0,0,0.05,x2_thermal,3.2520456326e-01,3.2520456326e-01,1.706961e-16,Y
0,0,0.1,Chapman-Kolmogorov,2.9578590156e-01,2.9578590156e-01,6.756243e-15,Y
0,0,0.1,Spectral_E0,1.0046374568e+00,1.0046374568e+00,6.188550e-15,Y
0,0,0.1,x2_thermal,3.2229923635e-01,3.2229923635e-01,0.000000e+00,Y
0,0,0.2,Chapman-Kolmogorov,2.9532425390e-01,2.9532425390e-01,6.766804e-15,Y
0,0,0.2,Spectral_E0,1.0091794094e+00,1.0091794094e+00,6.600747e-15,Y
0,0,0.2,x2_thermal,3.1687739333e-01,3.1687739333e-01,1.751818e-16,Y
0,0,0.35,Chapman-Kolmogorov,2.9463788057e-01,2.9463788057e-01,7.159377e-15,Y
0,0,0.35,Spectral_E0,1.0158266976e+00,1.0158266976e+00,6.776139e-15,Y
0,0,0.35,x2_thermal,3.0955263582e-01,3.0955263582e-01,1.793270e-16,Y
0,0,0.5,Chapman-Kolmogorov,2.9395864220e-01,2.9395864220e-01,6.420560e-15,Y
0,0,0.5,Spectral_E0,1.0222910378e+00,1.0222910378e+00,6.516088e-15,Y
0,0,0.5,x2_thermal,3.0300640975e-01,3.0300640975e-01,1.832012e-16,Y
0,0,0.7,Chapman-Kolmogorov,2.9306375305e-01,2.9306375305e-01,6.440166e-15,Y
0,0,0.7,Spectral_E0,1.0306516144e+00,1.0306516144e+00,5.816907e-15,Y
0,0,0.7,x2_thermal,2.9523202562e-01,2.9523202562e-01,0.000000e+00,Y
0,0,1.0,Chapman-Kolmogorov,2.9174360548e-01,2.9174360548e-01,6.659581e-15,Y
0,0,1.0,Spectral_E0,1.0426978264e+00,1.0426978264e+00,6.601513e-15,Y
0,0,1.0,x2_thermal,2.8514063666e-01,2.8514063666e-01,5.840397e-16,Y
