seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file,xf_from_filename,source_csv
42,0,0,N,,-3.1367591113474191e-01,3.0096663650275840e-01,4.3471081596159306e-01,2.878037e-09,5.171002e-12,1.000000,3.1362972888013352e-01,-3.0128947640662429e-01,15000,16,1,1.0,1,0.01,16,0,0.25,308.7,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf0.25.pt,0.25,warm_start_scan_xi0_xf0.25.csv
42,1,0.1,Y,0,-3.1458179788690660e-01,3.0040485483457735e-01,4.3497676302297122e-01,5.973355e-06,1.357783e-05,0.999982,3.1362972888013352e-01,-3.0128947640662429e-01,9000,16,1,1.0,1,0.01,16,0,0.25,174.4,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf0.25.pt,0.25,warm_start_scan_xi0_xf0.25.csv
45,0,0,N,,-3.1362412856659333e-01,3.0105337742720745e-01,4.3473351616764455e-01,2.871975e-09,5.669263e-12,1.000000,3.1362972888013352e-01,-3.0128947640662429e-01,15000,16,1,1.0,1,0.01,16,0,0.25,289.0,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf0.25.pt,0.25,warm_start_scan_xi0_xf0.25.csv
45,1,0.1,Y,0,-3.1457804437230052e-01,3.0041436109768987e-01,4.3498061376897507e-01,5.075524e-06,1.029095e-05,0.999986,3.1362972888013352e-01,-3.0128947640662429e-01,9000,16,1,1.0,1,0.01,16,0,0.25,172.8,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf0.25.pt,0.25,warm_start_scan_xi0_xf0.25.csv
42,0,0,N,,3.3186541153818788e-01,-2.8062220655975484e-01,4.3460726430868196e-01,2.698806e-09,5.305158e-12,1.000000,3.3118719437495836e-01,-2.8187585514344327e-01,15000,16,1,1.0,1,0.01,16,0,0.5,290.0,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf0.5.pt,0.5,warm_start_scan_xi0_xf0.5.csv
42,1,0.1,Y,0,3.3329903079145923e-01,-2.8049227414287076e-01,4.3561928306764092e-01,7.909038e-06,2.446522e-05,0.999968,3.3118719437495836e-01,-2.8187585514344327e-01,9000,16,1,1.0,1,0.01,16,0,0.5,172.8,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf0.5.pt,0.5,warm_start_scan_xi0_xf0.5.csv
45,0,0,N,,3.3186864102135522e-01,-2.8058868891735023e-01,4.3458808916227637e-01,2.461049e-09,3.599166e-12,1.000000,3.3118719437495836e-01,-2.8187585514344327e-01,15000,16,1,1.0,1,0.01,16,0,0.5,288.2,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf0.5.pt,0.5,warm_start_scan_xi0_xf0.5.csv
45,1,0.1,Y,0,3.3331077942133475e-01,-2.8047493418889580e-01,4.3561710754597677e-01,7.073358e-06,2.024063e-05,0.999973,3.3118719437495836e-01,-2.8187585514344327e-01,9000,16,1,1.0,1,0.01,16,0,0.5,171.4,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf0.5.pt,0.5,warm_start_scan_xi0_xf0.5.csv
42,0,0,N,,-3.5924384997601316e-01,2.4408181113255245e-01,4.3431794145687241e-01,3.136237e-09,6.592504e-12,1.000000,3.5775414248369658e-01,-2.4728713870025440e-01,15000,16,1,1.0,1,0.01,16,0,0.75,290.7,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf0.75.pt,0.75,warm_start_scan_xi0_xf0.75.csv
42,1,0.1,Y,0,-3.6146381099954417e-01,2.4506101300599412e-01,4.3670469056083905e-01,1.039406e-05,4.050231e-05,0.999947,3.5775414248369658e-01,-2.4728713870025440e-01,9000,16,1,1.0,1,0.01,16,0,0.75,172.2,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf0.75.pt,0.75,warm_start_scan_xi0_xf0.75.csv
45,0,0,N,,3.5927985776627347e-01,-2.4407261208040920e-01,4.3434255624369528e-01,2.621308e-09,3.693227e-12,1.000000,3.5775414248369658e-01,-2.4728713870025440e-01,15000,16,1,1.0,1,0.01,16,0,0.75,290.1,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf0.75.pt,0.75,warm_start_scan_xi0_xf0.75.csv
45,1,0.1,Y,0,3.6153183484727042e-01,-2.4496929430210065e-01,4.3670954049448385e-01,9.181322e-06,3.415238e-05,0.999956,3.5775414248369658e-01,-2.4728713870025440e-01,9000,16,1,1.0,1,0.01,16,0,0.75,173.5,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf0.75.pt,0.75,warm_start_scan_xi0_xf0.75.csv
42,0,0,N,,3.9093254679233141e-01,-1.8848300688687628e-01,4.3399781108509827e-01,2.723407e-09,4.558038e-12,1.000000,3.8885028963483875e-01,-1.9476757348620916e-01,15000,16,1,1.0,1,0.01,16,0,1,290.2,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf1.0.pt,1.0,warm_start_scan_xi0_xf1.0.csv
42,1,0.1,Y,0,3.9482690610493670e-01,-1.9066924078382622e-01,4.3845529437501057e-01,1.301959e-05,6.729607e-05,0.999917,3.8885028963483875e-01,-1.9476757348620916e-01,9000,16,1,1.0,1,0.01,16,0,1,172.8,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf1.0.pt,1.0,warm_start_scan_xi0_xf1.0.csv
45,0,0,N,,3.9085922922000976e-01,-1.8859684091971521e-01,4.3398122709554671e-01,2.619990e-09,5.291228e-12,1.000000,3.8885028963483875e-01,-1.9476757348620916e-01,15000,16,1,1.0,1,0.01,16,0,1,290.0,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf1.0.pt,1.0,warm_start_scan_xi0_xf1.0.csv
45,1,0.1,Y,0,3.9524930206525971e-01,-1.8845898624525792e-01,4.3787989252723769e-01,1.210843e-05,6.115188e-05,0.999925,3.8885028963483875e-01,-1.9476757348620916e-01,9000,16,1,1.0,1,0.01,16,0,1,175.6,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf1.0.pt,1.0,warm_start_scan_xi0_xf1.0.csv
42,0,0,N,,-4.1895398737552303e-01,1.1147228210821290e-01,4.3353029100198165e-01,3.220649e-09,5.796251e-12,1.000000,4.1750879410619263e-01,-1.2175944429405355e-01,15000,16,1,1.0,1,0.01,16,0,1.25,292.1,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf1.25.pt,1.25,warm_start_scan_xi0_xf1.25.csv
