lambda,Re(K) pert,Im(K) pert,Re(K) exact,Im(K) exact
0.0,0.3075215077281619,-0.30752150772816184,0.3075224673967805,-0.30752068503400565
0.01,0.3076109706161031,-0.307431894537284,0.3076119636135052,-0.3074311693606556
0.05,0.307967319138501,-0.30707193874440586,0.30796856576272047,-0.30707132030863593
0.1,0.3084093729754232,-0.30661861218723296,0.30882788817778734,-0.30697107431125376
0.15,0.3088476692389285,-0.30616152805664315,0.3152282282028005,-0.29896576296809896
0.2,0.30928220792901695,-0.30570068635263653,0.3112943609858352,-0.34570001307558784
0.3,0.310140012588943,-0.30476773022437254,0.1897293869944224,-0.19476864736624358
0.4,0.31098278695520165,-0.303819743802441,0.2023398695712068,-0.6050269698511878
0.5,0.31181053102779266,-0.3028567270868418,0.11933600425279879,-0.7308846560979969
0.6,0.31262324480671616,-0.3018786800775751,0.9073510169841668,-0.27222798350787
0.8,0.3142035814835603,-0.299877495178039,0.7143242782432837,0.3676415477772028
1.0,0.3157237969857342,-0.29781618910383256,-0.17593863134585863,-1.0435716431133435
1.5,0.3192613056019865,-0.29239989377913406,1.3428626746588765,-0.4211241562512734
2.0,0.32242305687654943,-0.2866078411127463,-0.36758582807241924,-1.126038257579283
3.0,0.3276192874006078,-0.27389646375490306,-5.914452300170847e-05,0.7970997620174731
4.0,0.33131248855790907,-0.2596820570303027,1.166450426089154,0.5051508033708642
6.0,0.3341898027722407,-0.22674415548083124,1.380647860645469,-0.7876898773998585
8.0,0.3310549995195444,-0.1877941364643318,1.3907047326899453,-0.7285057717795234
