lam,K_re,K_im,abs_K,unc
0,4.1836667621661972e-01,-4.1836667621661966e-01,5.9165982755049695e-01,0.0000000000000000e+00
0.1,4.2133023643576928e-01,-4.1598547884142612e-01,5.9208368221219521e-01,2.1625033885101018e-03
0.2,4.2450717294204493e-01,-4.1387547547082365e-01,5.9287372101944913e-01,4.2986502357603880e-03
0.3,4.2769158927984252e-01,-4.0918732418308718e-01,5.9190739293645622e-01,8.5001378334432776e-03
0.4,4.2701896593932565e-01,-4.0804869166227359e-01,5.9063434715497554e-01,1.0700791379273449e-02
0.5,4.4116885944328621e-01,-4.0365358534818468e-01,5.9796837667800984e-01,1.7022423458186064e-02
0.6,4.3920504163627616e-01,-4.1470867334945077e-01,6.0405658042106003e-01,6.9645690605851544e-03
0.7,4.2221537022043776e-01,-3.9911853267621406e-01,5.8100036314618209e-01,2.5453410016608034e-02
0.8,4.3264619035732799e-01,-3.7408543785332726e-01,5.7194636185976810e-01,4.6988189405904629e-02
0.9,4.4977623255411647e-01,-3.4248600407242619e-01,5.6532762391030622e-01,6.7949925684966786e-02
1,4.8101748651226084e-01,-3.1651551455200311e-01,5.7581237680575459e-01,8.3750587095695800e-02
1.1,5.2213489243154920e-01,-3.3491189691860584e-01,6.2031510105117083e-01,1.2182637616374069e-01
1.2,5.6235850464794856e-01,-3.3373726697359546e-01,6.5393245149394574e-01,1.3320294043438663e-01
1.3,5.9971566079614946e-01,-3.5176236304025732e-01,6.9526659193134543e-01,1.4326057320363494e-01
1.4,6.3061921788779862e-01,-3.8324292549602196e-01,7.3794019941467359e-01,1.4475284877051597e-01
1.5,6.2148262278395294e-01,-4.1519176638425764e-01,7.4741210406020397e-01,1.4697672598869291e-01
1.6,6.6053572286481033e-01,-4.6222859045968295e-01,8.0620264885379955e-01,1.9748252272718725e-01
1.7,6.6509872103066336e-01,-4.9403134169080160e-01,8.2850665373878418e-01,1.9212842644847597e-01
1.8,6.6568882379097927e-01,-5.2912700825042480e-01,8.5036286429986030e-01,1.9422192114558498e-01
1.9,6.5655719240844934e-01,-5.7979441941518661e-01,8.7591604374406740e-01,1.9938559315175480e-01
2,6.4856592161081705e-01,-6.7834725794054296e-01,9.3850559776185782e-01,2.4336040020433405e-01
2.1,6.7423959237921016e-01,-7.5170227443499416e-01,1.0097798459676379e+00,3.0720597726277771e-01
2.2,6.6992579169617361e-01,-7.0103917220412426e-01,9.6966823570971372e-01,2.7045262952978061e-01
2.3,5.6037753411376867e-01,-6.3766705437194049e-01,8.4890650425757452e-01,1.5204899204326833e-01
2.4,6.6448215520762743e-01,-5.7128514076756431e-01,8.7630088819491059e-01,2.1068014585823147e-01
2.5,5.1020875244488950e-01,-5.7363491575112580e-01,7.6770436213439064e-01,8.1271054661133241e-02
2.6,6.3577715784433919e-01,-5.5851004357662970e-01,8.4625413630457047e-01,1.9314679529871709e-01
2.7,3.6980399879485260e-01,-5.9602961482028360e-01,7.0143160697781426e-01,6.8315512125831521e-02
2.8,6.6595454948990795e-01,-6.3628950686583186e-01,9.2106449206006735e-01,2.4308937364599043e-01
2.9,3.7752470720133591e-01,-6.7167806645905515e-01,7.7050394516162557e-01,1.0943035102959245e-01
3,5.3036109453340596e-01,-5.8563005710238225e-01,7.9009205436861085e-01,1.2432623632598334e-01
3.1,5.9557046323804097e-01,-7.3439329825569299e-01,9.4553566469195116e-01,2.4235217433888115e-01
3.2,4.8712173335536213e-01,-7.1813388019885838e-01,8.6775794608669576e-01,1.7122151483359249e-01
3.3,4.4321680753680992e-01,-5.4829391982320974e-01,7.0503004262103752e-01,4.2666431118719199e-02
3.4,6.9092822492556083e-01,-7.7345670218985274e-01,1.0371196084161116e+00,3.4509846011263073e-01
3.5,5.3786346436430910e-01,-8.2526124547289781e-01,9.8506508900552092e-01,2.6842093638203007e-01
3.6,5.8062263652001944e-01,-5.6337126494022227e-01,8.0901781698538922e-01,1.6175913136407088e-01
3.7,6.1852907986927108e-01,-6.0050166812192796e-01,8.6207915881382102e-01,2.1644500463981151e-01
3.8,7.3832360660146779e-01,-8.3867715156905454e-01,1.1173634648712039e+00,4.2029003484103067e-01
3.9,5.8572960336643953e-01,-9.1648104017923582e-01,1.0876656955461179e+00,3.5635538993786336e-01
