lam,Nb,K_re,K_im,abs_K,abs_dK,rel_to_ref,fit_unc,converged
0.0,25,4.5728773261e-01,-3.7681598597e-01,5.9253890816e-01,,9.6229e-02,1.0433e-02,0
0.0,50,3.9765235503e-01,-4.1712651942e-01,5.7630020707e-01,7.1981e-02,3.5069e-02,6.9365e-03,0
0.0,100,4.1633942343e-01,-4.1939782858e-01,5.9095943526e-01,1.8825e-02,3.8400e-03,9.9399e-04,0
0.0,150,4.1822555084e-01,-4.1858368786e-01,5.9171354144e-01,2.0543e-03,4.3482e-04,1.4027e-04,0
0.0,200,4.1836290807e-01,-4.1839720205e-01,5.9167874859e-01,2.3161e-04,5.1291e-05,4.2769e-05,0
0.0,300,4.1836442378e-01,-4.1836711259e-01,5.9165854340e-01,3.0128e-05,7.6903e-07,2.9004e-05,1
0.0,400,4.1836404112e-01,-4.1836687289e-01,5.9165810333e-01,4.5153e-07,1.2201e-08,2.8854e-05,1
0.0,600,4.1836403484e-01,-4.1836687646e-01,5.9165810141e-01,7.2196e-09,3.3403e-12,2.8855e-05,1
0.0,800,4.1836403484e-01,-4.1836687646e-01,5.9165810141e-01,1.9763e-12,0.0000e+00,2.8855e-05,1
0.05,25,3.5888038439e-01,-4.1598083411e-01,5.4939528997e-01,,1.0244e-01,1.1168e-02,0
0.05,50,3.9795350176e-01,-4.0066836070e-01,5.6471419747e-01,4.1966e-02,4.5892e-02,9.0662e-03,0
0.05,100,4.2176799844e-01,-4.2182581743e-01,5.9651090917e-01,3.1855e-02,8.6940e-03,2.2589e-03,0
0.05,150,4.1966259640e-01,-4.1809815641e-01,5.9238734221e-01,4.2811e-03,1.5158e-03,4.4062e-04,0
0.05,200,4.1944768408e-01,-4.1738285905e-01,5.9173035304e-01,7.4689e-04,2.7786e-04,1.0414e-04,0
0.05,300,4.1948016500e-01,-4.1721189044e-01,5.9163280027e-01,1.7403e-04,1.6772e-05,2.4391e-05,0
0.05,400,4.1947602638e-01,-4.1722096197e-01,5.9163626310e-01,9.9710e-06,1.2936e-07,2.8198e-05,1
