x_f,Re(K0),Im(K0),|K0|,,,,
0,0.307521508,-0.307521508,0.434901087,,,,
0.25,0.313629729,-0.301289476,0.434901087,0.25,0.313629729,-0.301289476,0.434901087
0.5,0.331187194,-0.281875855,0.434901087,0.5,0.331187194,-0.281875855,0.434901087
0.75,0.357754142,-0.247287139,0.434901087,0.75,0.357754142,-0.247287139,0.434901087
1,0.38885029,-0.194767573,0.434901087,1,0.38885029,-0.194767573,0.434901087
1.25,0.417508794,-0.121759444,0.434901087,1.25,0.417508794,-0.121759444,0.434901087
1.5,0.434037107,-0.027399733,0.434901087,1.5,0.434037107,-0.027399733,0.434901087
1.75,0.426420546,0.085466214,0.434901087,1.75,0.426420546,0.085466214,0.434901087
2,0.381914229,0.208039605,0.434901087,2,0.381914229,0.208039605,0.434901087
2.25,0.29031309,0.323816716,0.434901087,2.25,0.29031309,0.323816716,0.434901087
2.5,0.148985703,0.408585628,0.434901087,2.5,0.148985703,0.408585628,0.434901087
2.75,-0.031163598,0.433783109,0.434901087,2.75,-0.031163598,0.433783109,0.434901087
3,-0.221064971,0.374525345,0.434901087,3,-0.221064971,0.374525345,0.434901087
3.25,-0.37392335,0.222081705,0.434901087,3.25,-0.37392335,0.222081705,0.434901087
3.5,-0.434893705,-0.002533918,0.434901087,3.5,-0.434893705,-0.002533918,0.434901087
3.75,-0.361927042,-0.241138491,0.434901087,3.75,-0.361927042,-0.241138491,0.434901087
4,-0.153630197,-0.406862038,0.434901087,4,-0.153630197,-0.406862038,0.434901087
4.25,0.128983904,-0.415333731,0.434901087,4.25,0.128983904,-0.415333731,0.434901087
4.5,0.366753593,-0.233732234,0.434901087,4.5,0.366753593,-0.233732234,0.434901087
4.75,0.428256836,0.075730033,0.434901087,4.75,0.428256836,0.075730033,0.434901087
5,0.250287954,0.355661209,0.434901087,5,0.250287954,0.355661209,0.434901087
5.25,-0.090429339,0.425395686,0.434901087,5.25,-0.090429339,0.425395686,0.434901087
5.5,-0.381968672,0.207939628,0.434901087,5.5,-0.381968672,0.207939628,0.434901087
5.75,-0.399818392,-0.171126295,0.434901087,5.75,-0.399818392,-0.171126295,0.434901087
6,-0.096310638,-0.424102837,0.434901087,6,-0.096310638,-0.424102837,0.434901087
6.25,0.299580831,-0.315262242,0.434901087,6.25,0.299580831,-0.315262242,0.434901087
6.5,0.425124441,0.091696049,0.434901087,6.5,0.425124441,0.091696049,0.434901087
6.75,0.126398426,0.416127857,0.434901087,6.75,0.126398426,0.416127857,0.434901087
7,-0.314604387,0.300271602,0.434901087,7,-0.314604387,0.300271602,0.434901087
7.25,-0.403612951,-0.161973892,0.434901087,7.25,-0.403612951,-0.161973892,0.434901087
7.5,-0.002306241,-0.434894972,0.434901087,7.5,-0.002306241,-0.434894972,0.434901087
7.75,0.408218616,-0.149988391,0.434901087,7.75,0.408218616,-0.149988391,0.434901087
8,0.266228138,0.343891747,0.434901087,8,0.266228138,0.343891747,0.434901087
8.25,-0.261623054,0.347408021,0.434901087,8.25,-0.261623054,0.347408021,0.434901087
8.5,-0.397271837,-0.176957744,0.434901087,8.5,-0.397271837,-0.176957744,0.434901087
8.75,0.10031808,-0.423172823,0.434901087,8.75,0.10031808,-0.423172823,0.434901087
9,0.433270888,0.037620382,0.434901087,9,0.433270888,0.037620382,0.434901087
9.25,0.008441332,0.434819157,0.434901087,9.25,0.008441332,0.434819157,0.434901087
9.5,-0.433319754,0.037053285,0.434901087,9.5,-0.433319754,0.037053285,0.434901087
9.75,-0.048202493,-0.432221558,0.434901087,9.75,-0.048202493,-0.432221558,0.434901087
