lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
0,0.5,0,42,N,3.75E-01,-4.57E-01,5.91E-01,3.87E-09,4.79E-12,1,3.68E-01,-4.63E-01,5.92E-01,4.13E-05,1.53E-02,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,380.3
0,0.5,0,45,N,3.74E-01,-4.57E-01,5.91E-01,4.85E-09,8.51E-12,1,3.68E-01,-4.63E-01,5.92E-01,4.13E-05,1.51E-02,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,439.9
0,0.5,0,99,Y,-3.74E-01,4.57E-01,5.91E-01,3.71E-09,4.58E-12,1,3.68E-01,-4.63E-01,5.92E-01,4.13E-05,2.00E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,605.9
0.05,0.5,0,42,N,3.79E-01,-4.55E-01,5.92E-01,5.73E-06,9.01E-06,0.999989,3.70E-01,-4.64E-01,5.94E-01,5.17E-05,2.14E-02,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,667
0.05,0.5,0,45,Y,3.83E-01,-4.52E-01,5.92E-01,5.03E-06,7.14E-06,0.999993,3.70E-01,-4.64E-01,5.94E-01,5.17E-05,2.97E-02,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,658.8
0.05,0.5,0,99,N,3.81E-01,-4.56E-01,5.95E-01,1.24E-05,3.85E-05,0.999956,3.70E-01,-4.64E-01,5.94E-01,5.17E-05,2.35E-02,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,662.4
0.1,0.5,0,42,N,-4.10E-01,4.40E-01,6.02E-01,1.15E-05,3.47E-05,0.999955,3.65E-01,-4.70E-01,5.95E-01,4.23E-03,2.01E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,662.2
0.1,0.5,0,45,Y,-3.82E-01,4.51E-01,5.92E-01,8.12E-06,1.57E-05,0.99998,3.65E-01,-4.70E-01,5.95E-01,4.23E-03,1.99E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,668.8
0.1,0.5,0,99,N,3.81E-01,-4.58E-01,5.96E-01,2.32E-05,1.46E-04,0.99985,3.65E-01,-4.70E-01,5.95E-01,4.23E-03,3.32E-02,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,665.3
0.15,0.5,0,42,N,-4.18E-01,4.19E-01,5.92E-01,1.08E-05,2.89E-05,0.999961,4.25E-01,-4.53E-01,6.21E-01,2.25E-02,1.95E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,673
0.15,0.5,0,45,Y,4.01E-01,-4.43E-01,5.97E-01,8.38E-06,2.06E-05,0.999979,4.25E-01,-4.53E-01,6.21E-01,2.25E-02,4.17E-02,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,666.4
0.15,0.5,0,99,N,4.08E-01,-4.27E-01,5.91E-01,1.26E-05,5.86E-05,0.999959,4.25E-01,-4.53E-01,6.21E-01,2.25E-02,4.93E-02,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,664
0.2,0.5,0,42,Y,3.96E-01,-4.06E-01,5.67E-01,9.81E-06,2.70E-05,0.999964,3.03E-01,-6.25E-01,6.95E-01,7.03E-02,3.44E-01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,661
0.2,0.5,0,45,N,-3.80E-01,4.66E-01,6.02E-01,1.35E-05,4.35E-05,0.999955,3.03E-01,-6.25E-01,6.95E-01,7.03E-02,1.85E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,663.4
0.2,0.5,0,99,N,3.97E-01,-4.12E-01,5.72E-01,1.44E-05,8.17E-05,0.999941,3.03E-01,-6.25E-01,6.95E-01,7.03E-02,3.36E-01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,703.3
0.3,0.5,0,42,N,6.19E-01,-2.42E+00,2.49E+00,1.15E-04,1.77E-04,0.999726,1.17E-01,-6.11E-01,6.22E-01,9.85E-02,3.01E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,669
0.3,0.5,0,45,Y,4.00E-01,-3.89E-01,5.58E-01,1.18E-05,4.82E-05,0.999956,1.17E-01,-6.11E-01,6.22E-01,9.85E-02,5.78E-01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,659.2
0.3,0.5,0,99,N,-4.07E-01,3.99E-01,5.70E-01,1.29E-05,6.56E-05,0.999953,1.17E-01,-6.11E-01,6.22E-01,9.85E-02,1.83E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,658.8
0.4,0.5,0,42,Y,3.77E-01,-3.41E-01,5.09E-01,1.14E-05,4.99E-05,0.999945,1.03E+00,-8.44E-01,1.33E+00,2.01E-01,6.19E-01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,661.6
