lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
1,0,0,42,N,4.4754285966719920e-01,-2.4840058289328157e-01,5.1185687532826640e-01,2.058100e-05,1.329799e-04,0.999833,-7.5384195005925525e-01,-5.7093562990802893e-01,9.4564537706669860e-01,1.050461e-01,1.315426e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,1268.6
1,0,0,45,N,4.5709748121266153e-01,-2.8920675784615790e-01,5.4090540403553533e-01,1.822238e-05,1.168497e-04,0.999878,-7.5384195005925525e-01,-5.7093562990802893e-01,9.4564537706669860e-01,1.050461e-01,1.314742e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,1919.8
1,0,0,99,Y,4.9090844878610068e-01,-9.4682956470923899e-03,4.9099974919752898e-01,1.211895e-05,5.296518e-05,0.999944,-7.5384195005925525e-01,-5.7093562990802893e-01,9.4564537706669860e-01,1.050461e-01,1.444010e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,2024.5
1,0,0,123,N,7.1901025657739415e-01,6.8779434168656922e-02,7.2229243359462847e-01,1.284350e-04,2.735320e-03,0.997130,-7.5384195005925525e-01,-5.7093562990802893e-01,9.4564537706669860e-01,1.050461e-01,1.698078e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,2014.3
1,0,0,2024,N,4.8809492089658812e-01,-6.1049471050912463e-02,4.9189804809598786e-01,1.353968e-05,7.087641e-05,0.999932,-7.5384195005925525e-01,-5.7093562990802893e-01,9.4564537706669860e-01,1.050461e-01,1.419699e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,2027.2
2,0,0,42,N,7.5830174554913798e-01,-1.2093074078836130e-01,7.6788396348048027e-01,6.203498e-05,6.314354e-04,0.999395,1.5801800383909133e+00,1.6352624015679490e-01,1.5886188293448260e+00,2.656169e-02,5.474645e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,2020.3
2,0,0,45,Y,-5.4733813519350227e-01,2.8585772200269993e-01,6.1748981486796484e-01,2.073850e-05,1.509708e-04,0.999898,1.5801800383909133e+00,1.6352624015679490e-01,1.5886188293448260e+00,2.656169e-02,1.341437e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,2013.7
2,0,0,99,N,4.5102052490972731e+01,-5.6120442886202319e+01,7.1997911418609604e+01,7.469304e-02,1.222693e-01,0.903846,1.5801800383909133e+00,1.6352624015679490e-01,1.5886188293448260e+00,2.656169e-02,4.478608e+01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,2182.2
2,0,0,123,N,-3.0033162817431930e-01,1.3845726671877054e-01,3.3071060096263977e-01,1.461648e-05,1.691881e-04,0.999802,1.5801800383909133e+00,1.6352624015679490e-01,1.5886188293448260e+00,2.656169e-02,1.183845e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,2008.1
2,0,0,2024,N,-8.3172840581999381e+00,-5.9393070847584655e+00,1.0220204633560373e+01,2.315183e-03,4.941443e-03,0.994856,1.5801800383909133e+00,1.6352624015679490e-01,1.5886188293448260e+00,2.656169e-02,7.319403e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,2052.2
4,0,0,42,N,-4.5477491662670949e-01,4.8493827344680863e-02,4.5735311968255588e-01,2.386572e-05,2.937892e-04,0.999703,1.0037713308814749e+00,-1.3569919221159428e+00,1.6878933501224207e+00,5.321470e-02,1.200031e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,2287.8
4,0,0,45,N,-6.8921153587015072e-01,1.9956717170267207e-01,7.1752323808911989e-01,1.300384e-03,3.782615e-01,0.751247,1.0037713308814749e+00,-1.3569919221159428e+00,1.6878933501224207e+00,5.321470e-02,1.362525e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,2061.8
4,0,0,99,Y,-4.2719305541320207e-01,-2.3077811246233082e-01,4.8554345200501198e-01,2.575155e-05,2.444757e-04,0.999724,1.0037713308814749e+00,-1.3569919221159428e+00,1.6878933501224207e+00,5.321470e-02,1.078856e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,2083.1
4,0,0,123,N,6.8308465279854758e-01,-5.9024319046192908e-01,9.0276888890545481e-01,1.679507e-04,5.488424e-03,0.996908,1.0037713308814749e+00,-1.3569919221159428e+00,1.6878933501224207e+00,5.321470e-02,4.923948e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,2072.3
4,0,0,2024,N,-3.3769977758612746e-01,7.7753757878543328e-02,3.4653540460673726e-01,1.936474e-05,2.783590e-04,0.999721,1.0037713308814749e+00,-1.3569919221159428e+00,1.6878933501224207e+00,5.321470e-02,1.163693e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2,0.01,8,40000,2114.0
