lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
0,0,0,42,Y,-1.14E+25,1.37E+26,1.38E+26,inf,2.85E+03,0.000094,3.08E-01,-3.08E-01,4.35E-01,7.81E-06,3.17E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.3
0,0,0,45,N,-1.98E+35,5.00E+36,5.00E+36,5.01E+36,3.60E+03,0.0001,3.08E-01,-3.08E-01,4.35E-01,7.81E-06,1.15E+37,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.6
0,0,0,99,N,6.65E+25,-1.34E+25,6.79E+25,inf,3.25E+03,0.000151,3.08E-01,-3.08E-01,4.35E-01,7.81E-06,1.56E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.3
0.05,0,0,42,Y,-7.41E+25,2.02E+26,2.15E+26,inf,2.86E+03,0.000099,3.08E-01,-3.07E-01,4.35E-01,3.29E-05,4.94E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
0.05,0,0,45,N,nan,nan,nan,nan,3.60E+03,0.000103,3.08E-01,-3.07E-01,4.35E-01,3.29E-05,nan,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.3
0.05,0,0,99,N,6.39E+25,-1.79E+25,6.63E+25,inf,3.24E+03,0.000153,3.08E-01,-3.07E-01,4.35E-01,3.29E-05,1.53E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.3
0.1,0,0,42,Y,-6.61E+25,2.05E+26,2.15E+26,inf,2.86E+03,0.000099,3.08E-01,-3.07E-01,4.35E-01,2.47E-04,4.95E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.3
0.1,0,0,45,N,nan,nan,nan,nan,3.60E+03,0.000103,3.08E-01,-3.07E-01,4.35E-01,2.47E-04,nan,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.3
0.1,0,0,99,N,6.07E+25,-2.21E+25,6.46E+25,inf,3.24E+03,0.000155,3.08E-01,-3.07E-01,4.35E-01,2.47E-04,1.48E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.3
0.15,0,0,42,Y,-5.84E+25,2.08E+26,2.16E+26,inf,2.86E+03,0.000099,3.17E-01,-2.97E-01,4.35E-01,5.47E-03,4.97E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.3
