check,passed,lam,x_i,x_f,N,T,m,omega,eps,rank,epochs,K_re,K_im,abs_K,std_err,final_loss,ess_n,time_s,exact_re,exact_im,rel_err
mehler,True,0,0,0,16,1.0,1.0,2.0,0.01,8,15000,4.1775835303139608e-01,-4.1845728182989056e-01,5.9129395248384287e-01,3.795223e-09,4.018804e-12,1.000000,512.6,0.4183666762166197,-0.41836667621661966,0.0010395056243745137
mehler,False,0,0.5,1,16,1.0,1.0,2.0,0.01,8,15000,-4.2169255064168693e-01,-4.0541653204040817e-01,5.8496766724184246e-01,6.772283e-07,1.803385e-07,1.000000,514.7,-0.4584274859783396,-0.37403955891945845,0.08165363899316873
endpoint_near,False,0.2,0,0,16,1.0,1.0,2.0,0.01,8,15000,-4.3097276610749602e-01,3.6771866454008162e-01,5.6652850005757660e-01,9.259421e-06,2.622768e-05,0.999966,524.6,,,
endpoint_far,False,0.2,0,5,16,1.0,1.0,2.0,0.01,8,15000,2.0046507293806336e+01,2.8005221329582664e+01,3.4440599245651093e+01,1.305011e-03,1.010364e-04,0.999857,510.2,,,
squeeze_lam0_origin,False,0,0,0,16,1.0,1.0,2.0,0.01,8,15000,4.1775835303139608e-01,-4.1845728182989056e-01,5.9129395248384287e-01,3.795223e-09,4.018804e-12,1.000000,518.8,,,
squeeze_lam2_origin,False,2,0,0,16,1.0,1.0,2.0,0.01,8,15000,-2.7992729188315019e-01,1.2574003548159257e-01,3.0687105641286294e-01,1.475472e-05,2.605253e-04,0.999763,519.8,,,
squeeze_lam0_far,False,0,0,3,16,1.0,1.0,2.0,0.01,8,15000,-1.1567368277083239e+02,-1.3635539494338017e+01,1.1647458445115319e+02,3.312260e-03,3.584899e-05,0.999961,512.5,,,
squeeze_lam2_far,False,2,0,3,16,1.0,1.0,2.0,0.01,8,15000,-7.9793693869971360e-01,1.5632341588904008e-01,8.1310538584902281e-01,8.461237e-05,3.666722e-04,0.994893,499.5,,,
free_particle,True,0,0,0,16,1.0,1.0,0.0,0.01,8,15000,2.8190284471545507e-01,-2.8227647783090704e-01,3.9893511226174178e-01,2.419084e-09,4.774023e-12,1.000000,515.3,0.28209479177387814,-0.28209479177387814,0.0006624971420433691
short_time,True,2,0,0,16,0.01,1.0,2.0,0.01,8,15000,2.8210501893093820e+00,-2.8210518539890952e+00,3.9895686149630025e+00,1.247806e-07,1.993233e-10,1.000000,507.5,2.8209479177387813,-2.8209479177387817,3.6550575578200696e-05
