lam,seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,,,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file
0,42,0,0,N,,-3.07E-01,3.08E-01,,,4.35E-01,2.60E-09,4.59E-12,1,3.08E-01,-3.08E-01,15000,16,1,1,1,0.01,16,0,0,504.2,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed42_step00_lam0.0000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0,45,0,0,N,,-3.07E-01,3.08E-01,-0.3073,0.3076,4.35E-01,2.58E-09,4.30E-12,1,3.08E-01,-3.08E-01,15000,16,1,1,1,0.01,16,0,0,415.8,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed45_step00_lam0.0000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0,99,0,0,N,,-3.07E-01,3.08E-01,,,4.35E-01,2.60E-09,5.54E-12,1,3.08E-01,-3.08E-01,15000,16,1,1,1,0.01,16,0,0,416.8,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed99_step00_lam0.0000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.05,42,1,0.05,Y,0,-3.08E-01,3.07E-01,,,4.35E-01,2.88E-06,4.41E-06,0.999996,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,344,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed42_step01_lam0.0500_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.05,45,1,0.05,Y,0,-3.08E-01,3.07E-01,-0.3076,0.3073,4.35E-01,2.58E-06,3.31E-06,0.999997,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,333.3,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed45_step01_lam0.0500_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.05,99,1,0.05,Y,0,-3.08E-01,3.07E-01,,,4.35E-01,3.01E-06,3.93E-06,0.999996,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,331.3,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed99_step01_lam0.0500_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.1,42,2,0.1,Y,0.05,-3.08E-01,3.07E-01,,,4.35E-01,5.29E-06,1.43E-05,0.999988,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,334,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed42_step02_lam0.1000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.1,45,2,0.1,Y,0.05,-3.08E-01,3.07E-01,,,4.35E-01,4.45E-06,9.92E-06,0.99999,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,331.8,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed45_step02_lam0.1000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.1,99,2,0.1,Y,0.05,-3.08E-01,3.07E-01,-0.3080,0.3068,4.35E-01,5.30E-06,1.31E-05,0.999987,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,330.9,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed99_step02_lam0.1000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.2,42,3,0.2,Y,0.1,-3.09E-01,3.06E-01,,,4.35E-01,9.48E-06,4.47E-05,0.999964,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,338.1,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed42_step03_lam0.2000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.2,45,3,0.2,Y,0.1,-3.09E-01,3.06E-01,-0.3089,0.3059,4.35E-01,8.46E-06,3.58E-05,0.999964,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,331.4,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed45_step03_lam0.2000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.2,99,3,0.2,Y,0.1,-3.09E-01,3.06E-01,,,4.35E-01,9.63E-06,3.84E-05,0.999957,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,330.7,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed99_step03_lam0.2000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.25,42,4,0.25,Y,0.2,-3.09E-01,3.05E-01,,,4.35E-01,1.12E-05,5.98E-05,0.99995,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,331.8,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed42_step04_lam0.2500_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.25,45,4,0.25,Y,0.2,-3.09E-01,3.05E-01,,,4.35E-01,1.02E-05,5.17E-05,0.999948,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,329.2,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed45_step04_lam0.2500_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.25,99,4,0.25,Y,0.2,-3.09E-01,3.05E-01,,,4.35E-01,1.11E-05,5.28E-05,0.999944,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,326.3,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed99_step04_lam0.2500_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.3,42,5,0.3,Y,0.25,-3.10E-01,3.05E-01,,,4.35E-01,1.27E-05,7.68E-05,0.999936,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,332.3,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed42_step05_lam0.3000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.3,45,5,0.3,Y,0.25,-3.10E-01,3.05E-01,,,4.35E-01,1.18E-05,6.97E-05,0.99993,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,328.3,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed45_step05_lam0.3000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
0.3,99,5,0.3,Y,0.25,-3.10E-01,3.05E-01,-0.309781,0.3050,4.35E-01,1.28E-05,6.95E-05,0.999925,3.08E-01,-3.08E-01,12000,16,1,1,1,0.01,16,0,0,329,runs\20260505_233443_omega1_T1_N16_m1.0_eps0.01\weights\seed99_step05_lam0.3000_xi0_xf0_omega1_T1_N16_m1.0_eps0.01.pt
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-0.308925381,0.305895763,,,,,,,,,,,,,,,,,,,
,,,,,,-0.309780927,0.304953085,,,,,,,,,,,,,,,,,,,
