x_i,x_f,lam,check_name,value_ML,value_ref,rel_error,passed
0,0,0.0,Chapman-Kolmogorov,3.6800519871e-01,3.6800519871e-01,6.938796e-15,Y
0,0,0.0,Spectral_E0,5.0000000000e-01,5.0000000000e-01,1.398881e-14,Y
0,0,0.0,x2_thermal,1.0819764556e+00,1.0819764411e+00,1.346936e-08,Y
0,0,0.05,Chapman-Kolmogorov,3.6760427233e-01,3.6760427233e-01,6.795356e-15,Y
0,0,0.05,Spectral_E0,5.0900050031e-01,5.0900050031e-01,1.395957e-14,Y
0,0,0.05,x2_thermal,9.6179412688e-01,9.6179412688e-01,4.519182e-13,Y
0,0,0.1,Chapman-Kolmogorov,3.6720560353e-01,3.6720560353e-01,6.349218e-15,Y
0,0,0.1,Spectral_E0,5.1736484863e-01,5.1736484863e-01,1.137337e-14,Y
0,0,0.1,x2_thermal,8.8533327838e-01,8.8533327838e-01,3.762051e-16,Y
0,0,0.2,Chapman-Kolmogorov,3.6641489910e-01,3.6641489910e-01,6.059923e-15,Y
0,0,0.2,Spectral_E0,5.3264275477e-01,5.3264275477e-01,1.063027e-14,Y
0,0,0.2,x2_thermal,7.8523561720e-01,7.8523561720e-01,0.000000e+00,Y
0,0,0.3,Chapman-Kolmogorov,3.6563281651e-01,3.6563281651e-01,5.617419e-15,Y
0,0,0.3,Spectral_E0,5.4645250488e-01,5.4645250488e-01,9.955289e-15,Y
0,0,0.3,x2_thermal,7.1873899750e-01,7.1873899750e-01,1.544682e-16,Y
