omega,xa,xb,t,lambda,Re_K,Im_K,abs_K
2.0,0.0,0.0,1.0,0.0,0.4334355465322442,-0.40944099623007907,0.5962451697008411
2.0,0.0,0.0,1.0,0.05,-0.848777584461895,-1.0738395399561864,1.3687785596868045
2.0,0.0,0.0,1.0,0.1,-0.5877671299359903,-1.2503432524180786,1.3816035784191536
2.0,0.0,0.0,1.0,0.15,-0.5734580942169168,-1.2495287027316502,1.3748367775023838
2.0,0.0,0.0,1.0,0.2,1.3767820939667559,0.4596102015143044,1.4514718294212618
2.0,0.0,0.0,1.0,0.3,-0.5131964066102025,-1.2360517549872814,1.338355144483243
2.0,0.0,0.0,1.0,0.4,1.347724847723615,-1.338183583066566,1.8992360482995563
2.0,0.0,0.0,1.0,0.5,-0.6341475280385844,0.1595628755921747,0.6539139076244602
2.0,0.0,0.0,1.0,0.6,1.2988444099461804,0.39695585518314686,1.3581497532351228
2.0,0.0,0.0,1.0,0.7,1.4781915209544978,-1.2344829231844845,1.925875972189248
2.0,0.0,0.0,1.0,0.8,0.36500845508625596,-1.9189974808099581,1.9534028011752775
2.0,0.0,0.0,1.0,0.9,-1.0964785105359545,-1.30446922036466,1.7040848191759497
2.0,0.0,0.0,1.0,1.0,0.23895537712982337,-1.127365571514178,1.1524117337543665
2.0,0.0,0.0,1.0,1.1,0.2989759259237442,-0.6221270050192057,0.6902380854865421
2.0,0.0,0.0,1.0,2.0,0.7625900237974996,-0.6063605663430519,0.9742775173487982
2.0,0.0,0.0,1.0,3.0,1.8871247020346595,0.15804901163740148,1.8937315361763827
2.0,0.0,0.0,1.0,4.0,0.13921922245985582,-1.4711586745904863,1.477731314456442
2.0,0.0,0.0,1.0,8.0,-1.2866347580462618,-0.06695374199813792,1.288375645601979
2.0,0.5,0.7,1.0,0.0,-0.1937964572489627,-0.5687092081504844,0.6008221286515669
2.0,0.5,0.7,1.0,0.05,0.5267123588596896,-0.9045535967984789,1.0467297256009325
2.0,0.5,0.7,1.0,0.1,0.38780783984663864,-0.8907669876644758,0.9715249595143506
2.0,0.5,0.7,1.0,0.15,0.8135479526125924,-1.2514071182400481,1.4926084706921647
2.0,0.5,0.7,1.0,0.2,0.7556769570911089,-1.121194941824256,1.3520820097356425
2.0,0.5,0.7,1.0,0.3,0.0070864517281766255,-0.6078401263702928,0.6078814333601161
2.0,0.5,0.7,1.0,0.4,-0.7368264892681393,-1.6712454221785291,1.8264650383842287
2.0,0.5,0.7,1.0,0.5,-0.6539422769514317,-1.5525951275046814,1.6846934829623166
2.0,0.5,0.7,1.0,0.6,-1.5119597320380618,-0.09829090894306439,1.515151257823938
2.0,0.5,0.7,1.0,0.7,-0.46790909455406343,-0.2098764504767765,0.5128226255062605
2.0,0.5,0.7,1.0,0.8,-1.0009087226326232,-0.6574538097837537,1.197524021905716
2.0,0.5,0.7,1.0,0.9,-1.3828555328389533,0.06895286859298623,1.3845735526834633
2.0,0.5,0.7,1.0,1.0,-0.61922633384534,0.27657170158381206,0.6781837204213219
2.0,0.5,0.7,1.0,1.1,0.39685424536344155,0.2553929398678399,0.47193097567051556
2.0,0.5,0.7,1.0,2.0,-1.1098810425947903,-0.25340103771482403,1.1384410457402914
2.0,0.5,0.7,1.0,3.0,0.18076000534845174,-0.2804611701386437,0.3336654724257659
2.0,0.5,0.7,1.0,4.0,0.9275918725810716,-0.30432855891664035,0.9762389839843203
2.0,0.5,0.7,1.0,8.0,-0.02748525098553482,-0.6000083164408891,0.6006375103337853
