seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file
42,0,1.2,Y,1,4.1619039342307879e-01,-3.5362816211189774e-01,5.4613855441297654e-01,2.951864e-05,2.656645e-04,0.999719,3.6786851539910992e-01,-4.6339411618528198e-01,6000,16,1.0,1.0,2,0.01,16,0.5,0,275.2,warm_start_weights\seed42_step00_lam1.2000_xi0.5_xf0.pt
42,1,1.5,Y,1.2,3.8801132715993231e-01,-3.4788799881144689e-01,5.2113227660685657e-01,3.197352e-05,3.420137e-04,0.999634,3.6786851539910992e-01,-4.6339411618528198e-01,6000,16,1.0,1.0,2,0.01,16,0.5,0,285.7,warm_start_weights\seed42_step01_lam1.5000_xi0.5_xf0.pt
42,2,2,Y,1.5,3.9786265688330952e-01,-3.5065142465303856e-01,5.3033113745418692e-01,3.717529e-05,4.448809e-04,0.999517,3.6786851539910992e-01,-4.6339411618528198e-01,6000,16,1.0,1.0,2,0.01,16,0.5,0,275.3,warm_start_weights\seed42_step02_lam2.0000_xi0.5_xf0.pt
42,3,2.5,Y,2,4.2069599983131506e-01,-3.4000301384438941e-01,5.4091327742747997e-01,4.119909e-05,5.504397e-04,0.999426,3.6786851539910992e-01,-4.6339411618528198e-01,6000,16,1.0,1.0,2,0.01,16,0.5,0,277.7,warm_start_weights\seed42_step03_lam2.5000_xi0.5_xf0.pt
42,4,3,Y,2.5,4.3388489333528818e-01,-3.1427984380304658e-01,5.3574986783520695e-01,4.348523e-05,6.301306e-04,0.999346,3.6786851539910992e-01,-4.6339411618528198e-01,6000,16,1.0,1.0,2,0.01,16,0.5,0,267.9,warm_start_weights\seed42_step04_lam3.0000_xi0.5_xf0.pt
42,5,3.5,Y,3,4.4289597945822118e-01,-2.8813253952019335e-01,5.2837222575624920e-01,4.542154e-05,7.041873e-04,0.999264,3.6786851539910992e-01,-4.6339411618528198e-01,6000,16,1.0,1.0,2,0.01,16,0.5,0,277.4,warm_start_weights\seed42_step05_lam3.5000_xi0.5_xf0.pt
42,6,4,Y,3.5,4.4722040794203088e-01,-2.6227691451035212e-01,5.1845469731202842e-01,4.648612e-05,7.648552e-04,0.999200,3.6786851539910992e-01,-4.6339411618528198e-01,6000,16,1.0,1.0,2,0.01,16,0.5,0,275.0,warm_start_weights\seed42_step06_lam4.0000_xi0.5_xf0.pt
42,7,4.5,Y,4,4.5240018407010602e-01,-2.3122468409116070e-01,5.0806572515740800e-01,4.694691e-05,8.102412e-04,0.999153,3.6786851539910992e-01,-4.6339411618528198e-01,6000,16,1.0,1.0,2,0.01,16,0.5,0,288.0,warm_start_weights\seed42_step07_lam4.5000_xi0.5_xf0.pt
42,8,5,Y,4.5,4.6861817104598147e-01,-2.0058701634416468e-01,5.0974321119592647e-01,4.773679e-05,8.379729e-04,0.999130,3.6786851539910992e-01,-4.6339411618528198e-01,6000,16,1.0,1.0,2,0.01,16,0.5,0,267.9,warm_start_weights\seed42_step08_lam5.0000_xi0.5_xf0.pt
42,9,6,Y,5,4.8294095061251058e-01,-1.5958179552059781e-01,5.0862393891763813e-01,5.172964e-05,1.003026e-03,0.998975,3.6786851539910992e-01,-4.6339411618528198e-01,6000,16,1.0,1.0,2,0.01,16,0.5,0,278.0,warm_start_weights\seed42_step09_lam6.0000_xi0.5_xf0.pt
