x_i,x_f,lam,check_name,value_ML,value_ref,rel_error,passed
0.5,0,1.2,Chapman-Kolmogorov,2.2654034623e-01,2.2654034623e-01,5.880929e-15,Y
0.5,0,1.2,Spectral_E0,1.0504339643e+00,1.0504339643e+00,5.284592e-15,Y
0.5,0,1.2,x2_thermal,2.7922730126e-01,2.7922730126e-01,1.988027e-16,Y
0.5,0,1.5,Chapman-Kolmogorov,2.2496704786e-01,2.2496704786e-01,6.662314e-15,Y
0.5,0,1.5,Spectral_E0,1.0616450732e+00,1.0616450732e+00,5.647089e-15,Y
0.5,0,1.5,x2_thermal,2.7130820980e-01,2.7130820980e-01,2.046055e-16,Y
0.5,0,2.0,Chapman-Kolmogorov,2.2242966349e-01,2.2242966349e-01,6.363964e-15,Y
0.5,0,2.0,Spectral_E0,1.0794103952e+00,1.0794103952e+00,5.554147e-15,Y
0.5,0,2.0,x2_thermal,2.6005591273e-01,2.6005591273e-01,4.269170e-16,Y
0.5,0,2.5,Chapman-Kolmogorov,2.1998993782e-01,2.1998993782e-01,5.929871e-15,Y
0.5,0,2.5,Spectral_E0,1.0961894429e+00,1.0961894429e+00,5.266571e-15,Y
0.5,0,2.5,x2_thermal,2.5060363236e-01,2.5060363236e-01,0.000000e+00,Y
0.5,0,3.0,Chapman-Kolmogorov,2.1763956611e-01,2.1763956611e-01,5.738850e-15,Y
0.5,0,3.0,Spectral_E0,1.1121272399e+00,1.1121272399e+00,5.191096e-15,Y
0.5,0,3.0,x2_thermal,2.4247994667e-01,2.4247994667e-01,4.578618e-16,Y
0.5,0,3.5,Chapman-Kolmogorov,2.1537140160e-01,2.1537140160e-01,6.572527e-15,Y
0.5,0,3.5,Spectral_E0,1.1273353051e+00,1.1273353051e+00,5.711959e-15,Y
0.5,0,3.5,x2_thermal,2.3537699437e-01,2.3537699437e-01,0.000000e+00,Y
0.5,0,4.0,Chapman-Kolmogorov,2.1317923021e-01,2.1317923021e-01,4.817337e-15,Y
0.5,0,4.0,Spectral_E0,1.1419018395e+00,1.1419018395e+00,4.472386e-15,Y
0.5,0,4.0,x2_thermal,2.2908225892e-01,2.2908225892e-01,1.211599e-16,Y
0.5,0,4.5,Chapman-Kolmogorov,2.1105760098e-01,2.1105760098e-01,6.312341e-15,Y
0.5,0,4.5,Spectral_E0,1.1558981782e+00,1.1558981782e+00,5.378717e-15,Y
0.5,0,4.5,x2_thermal,2.2344275902e-01,2.2344275902e-01,2.484357e-16,Y
0.5,0,5.0,Chapman-Kolmogorov,2.0900169568e-01,2.0900169568e-01,6.905637e-15,Y
0.5,0,5.0,Spectral_E0,1.1693830760e+00,1.1693830760e+00,5.506573e-15,Y
0.5,0,5.0,x2_thermal,2.1834468256e-01,2.1834468256e-01,0.000000e+00,Y
0.5,0,6.0,Chapman-Kolmogorov,2.0507035637e-01,2.0507035637e-01,4.331091e-15,Y
0.5,0,6.0,Spectral_E0,1.1950075720e+00,1.1950075720e+00,3.716204e-15,Y
0.5,0,6.0,x2_thermal,2.0944400970e-01,2.0944400970e-01,1.325203e-16,Y
0.5,0,7.0,Chapman-Kolmogorov,2.0135592739e-01,2.0135592739e-01,7.719228e-15,Y
0.5,0,7.0,Spectral_E0,1.2190870965e+00,1.2190870965e+00,6.192762e-15,Y
0.5,0,7.0,x2_thermal,2.0188371763e-01,2.0188371763e-01,0.000000e+00,Y
0.5,0,8.0,Chapman-Kolmogorov,1.9783449554e-01,1.9783449554e-01,8.277520e-15,Y
0.5,0,8.0,Spectral_E0,1.2418540597e+00,1.2418540597e+00,5.721628e-15,Y
0.5,0,8.0,x2_thermal,1.9534160319e-01,1.9534160319e-01,1.420874e-16,Y
