seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file
42,0,1.2,Y,1,-4.3800563248688790e-01,3.8806765140185573e-01,5.8518837664019863e-01,1.057716e-04,4.043511e-03,0.996917,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,199.1,warm_start_weights\seed42_step00_lam1.2000_xi0_xf0.pt
42,1,1.5,Y,1.2,-4.4109460221624841e-01,3.8030972186100720e-01,5.8240873331905585e-01,1.238736e-04,5.804991e-03,0.995688,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,208.5,warm_start_weights\seed42_step01_lam1.5000_xi0_xf0.pt
42,2,2,Y,1.5,-4.4497868717495759e-01,3.6782751508931122e-01,5.7732409693059428e-01,1.492958e-04,8.920388e-03,0.993560,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,224.3,warm_start_weights\seed42_step02_lam2.0000_xi0_xf0.pt
42,3,2.5,Y,2,-4.4751412670696844e-01,3.5600662252677129e-01,5.7184753989609816e-01,1.705563e-04,1.213412e-02,0.991373,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,254.0,warm_start_weights\seed42_step03_lam2.5000_xi0_xf0.pt
42,4,3,Y,2.5,-4.4918247897674246e-01,3.4489034517107969e-01,5.6631638649426186e-01,1.881259e-04,1.528344e-02,0.989263,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,314.2,warm_start_weights\seed42_step04_lam3.0000_xi0_xf0.pt
42,5,3.5,Y,3,-4.5005276745616707e-01,3.3445548967958888e-01,5.6072093600272177e-01,2.028804e-04,1.839076e-02,0.987227,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,302.7,warm_start_weights\seed42_step05_lam3.5000_xi0_xf0.pt
42,6,4,Y,3.5,-4.5044746315328166e-01,3.2465732939870451e-01,5.5525246383381854e-01,2.152643e-04,2.141770e-02,0.985284,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,295.7,warm_start_weights\seed42_step06_lam4.0000_xi0_xf0.pt
42,7,4.5,Y,4,-4.5037891546436692e-01,3.1543905657901383e-01,5.4985722320464037e-01,2.259487e-04,2.424235e-02,0.983409,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,280.8,warm_start_weights\seed42_step07_lam4.5000_xi0_xf0.pt
42,8,5,Y,4.5,-4.4999321179351326e-01,3.0674892465553838e-01,5.4459966345708555e-01,2.350748e-04,2.678651e-02,0.981646,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,291.0,warm_start_weights\seed42_step08_lam5.0000_xi0_xf0.pt
42,9,6,Y,5,-4.4843870180900158e-01,2.9075226824371619e-01,5.3444751919062039e-01,2.498366e-04,3.093720e-02,0.978461,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,295.6,warm_start_weights\seed42_step09_lam6.0000_xi0_xf0.pt
42,10,7,Y,6,-4.4620101997047296e-01,2.7638948985431372e-01,5.2486807897281984e-01,2.611178e-04,3.429189e-02,0.975628,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,293.5,warm_start_weights\seed42_step10_lam7.0000_xi0_xf0.pt
42,11,8,Y,7,-4.4353995069057672e-01,2.6338438428719180e-01,5.1584786686090156e-01,2.699664e-04,3.726301e-02,0.973087,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,286.9,warm_start_weights\seed42_step11_lam8.0000_xi0_xf0.pt
45,0,1.2,Y,1,4.3794242692795271e-01,-3.8809464596201493e-01,5.8515897286799501e-01,1.069869e-04,3.150501e-03,0.996819,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,289.5,warm_start_weights\seed45_step00_lam1.2000_xi0_xf0.pt
45,1,1.5,Y,1.2,4.4102413106658550e-01,-3.8034072077472186e-01,5.8237560737248584e-01,1.252525e-04,4.440339e-03,0.995596,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,283.4,warm_start_weights\seed45_step01_lam1.5000_xi0_xf0.pt
45,2,2,Y,1.5,4.4487990523122362e-01,-3.6785315255140510e-01,5.7726429988398709e-01,1.508332e-04,6.708598e-03,0.993466,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,293.4,warm_start_weights\seed45_step02_lam2.0000_xi0_xf0.pt
45,3,2.5,Y,2,4.4745611197461410e-01,-3.5602974272173893e-01,5.7181653512813524e-01,1.719069e-04,8.914537e-03,0.991318,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,285.3,warm_start_weights\seed45_step03_lam2.5000_xi0_xf0.pt
45,4,3,Y,2.5,4.4910654977046405e-01,-3.4489413975056099e-01,5.6625847515159522e-01,1.893146e-04,1.095383e-02,0.989230,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,281.5,warm_start_weights\seed45_step04_lam3.0000_xi0_xf0.pt
45,5,3.5,Y,3,4.5000535621021537e-01,-3.3443171152818296e-01,5.6066869922758544e-01,2.040033e-04,1.284921e-02,0.987221,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,273.7,warm_start_weights\seed45_step05_lam3.5000_xi0_xf0.pt
45,6,4,Y,3.5,4.5036829375855975e-01,-3.2459327416965883e-01,5.5515078461547329e-01,2.163453e-04,1.458167e-02,0.985319,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,271.9,warm_start_weights\seed45_step06_lam4.0000_xi0_xf0.pt
45,7,4.5,Y,4,4.5029934632601087e-01,-3.1532546108481413e-01,5.4972688465271857e-01,2.268878e-04,1.619592e-02,0.983511,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,283.0,warm_start_weights\seed45_step07_lam4.5000_xi0_xf0.pt
45,8,5,Y,4.5,4.4988039253552681e-01,-3.0658692148410033e-01,5.4441519818335116e-01,2.359687e-04,1.769522e-02,0.981802,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,270.9,warm_start_weights\seed45_step08_lam5.0000_xi0_xf0.pt
45,9,6,Y,5,4.4829392732241424e-01,-2.9053625710619996e-01,5.3420853790203870e-01,2.507890e-04,2.067077e-02,0.978676,4.1836667621661972e-01,-4.1836667621661966e-01,6000,16,1.0,1.0,2,0.01,16,0,0,269.8,warm_start_weights\seed45_step09_lam6.0000_xi0_xf0.pt
