lam,seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file
0,42,0,0,N,,-0.307329632881479,0.307500609739694,0.434750650646262,0.000000002712807,4.416764E-12,1,0.307521507728162,-0.307521507728162,15000,16,1,1,1,0.01,16,0,0,1570.7,warm_start_weights/seed42_step00_lam0.0000_xi0_xf0.pt
0,45,0,0,N,,0.307230354894046,-0.307623398974891,0.434767347629955,0.000000002600748,4.34639E-12,1,0.307521507728162,-0.307521507728162,15000,16,1,1,1,0.01,16,0,0,1411.9,warm_start_weights/seed45_step00_lam0.0000_xi0_xf0.pt
0,99,0,0,N,,-0.307318181038185,0.30753324403498,0.434765638687439,0.000000002723919,5.54819E-12,1,0.307521507728162,-0.307521507728162,15000,16,1,1,1,0.01,16,0,0,1417.3,warm_start_weights/seed99_step00_lam0.0000_xi0_xf0.pt
0.01,42,1,0.01,Y,0,-0.307264561932571,0.30758862596563,0.434766918984229,0.0000005461479,0.0000001461725,1,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,578.1,warm_start_weights/seed42_step01_lam0.0100_xi0_xf0.pt
0.01,45,1,0.01,Y,0,0.307257564364269,-0.307601922049164,0.434771380506356,0.0000004758095,0.0000001173457,1,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,567.2,warm_start_weights/seed45_step01_lam0.0100_xi0_xf0.pt
0.01,99,1,0.01,Y,0,-0.307276531137707,0.307578099646261,0.434767931165613,0.0000005092899,0.0000001042802,1,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,562.7,warm_start_weights/seed99_step01_lam0.0100_xi0_xf0.pt
0.05,42,2,0.05,Y,0.01,-0.307603905900873,0.307217661843849,0.434744585560619,0.000002687173,0.00000356982,0.999996,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,568.5,warm_start_weights/seed42_step02_lam0.0500_xi0_xf0.pt
0.05,45,2,0.05,Y,0.01,0.307613868204829,-0.307246798419674,0.434772224332556,0.000002340786,0.000002820847,0.999997,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,550.4,warm_start_weights/seed45_step02_lam0.0500_xi0_xf0.pt
0.05,99,2,0.05,Y,0.01,-0.307648974402897,0.307180723734486,0.434750374910933,0.000002521812,0.000002513332,0.999997,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,569.1,warm_start_weights/seed99_step02_lam0.0500_xi0_xf0.pt
0.1,42,3,0.1,Y,0.05,-0.308043982399967,0.306751759783785,0.434727198623781,0.000005082722,0.00001329482,0.999987,0.307521507728162,-0.307521507728162,6000,16,1,1,1,0.01,16,0,0,573.6,warm_start_weights/seed42_step03_lam0.1000_xi0_xf0.pt
