x_i,x_f,lam,check_name,value_ML,value_ref,rel_error,passed
0,0,1.2,Chapman-Kolmogorov,2.9087771246e-01,2.9087771246e-01,6.106885e-15,Y
0,0,1.2,Spectral_E0,1.0504339643e+00,1.0504339643e+00,5.284592e-15,Y
0,0,1.2,x2_thermal,2.7922730126e-01,2.7922730126e-01,1.988027e-16,Y
0,0,1.5,Chapman-Kolmogorov,2.8959925446e-01,2.8959925446e-01,6.517210e-15,Y
0,0,1.5,Spectral_E0,1.0616450732e+00,1.0616450732e+00,5.647089e-15,Y
0,0,1.5,x2_thermal,2.7130820980e-01,2.7130820980e-01,2.046055e-16,Y
0,0,2.0,Chapman-Kolmogorov,2.8752004201e-01,2.8752004201e-01,6.564339e-15,Y
0,0,2.0,Spectral_E0,1.0794103952e+00,1.0794103952e+00,5.554147e-15,Y
0,0,2.0,x2_thermal,2.6005591273e-01,2.6005591273e-01,4.269170e-16,Y
0,0,2.5,Chapman-Kolmogorov,2.8550117773e-01,2.8550117773e-01,6.221890e-15,Y
0,0,2.5,Spectral_E0,1.0961894429e+00,1.0961894429e+00,5.266571e-15,Y
0,0,2.5,x2_thermal,2.5060363236e-01,2.5060363236e-01,0.000000e+00,Y
0,0,3.0,Chapman-Kolmogorov,2.8353847850e-01,2.8353847850e-01,5.677619e-15,Y
0,0,3.0,Spectral_E0,1.1121272399e+00,1.1121272399e+00,5.191096e-15,Y
0,0,3.0,x2_thermal,2.4247994667e-01,2.4247994667e-01,4.578618e-16,Y
0,0,3.5,Chapman-Kolmogorov,2.8162825751e-01,2.8162825751e-01,6.110345e-15,Y
0,0,3.5,Spectral_E0,1.1273353051e+00,1.1273353051e+00,5.711959e-15,Y
0,0,3.5,x2_thermal,2.3537699437e-01,2.3537699437e-01,0.000000e+00,Y
0,0,4.0,Chapman-Kolmogorov,2.7976723965e-01,2.7976723965e-01,4.960476e-15,Y
0,0,4.0,Spectral_E0,1.1419018395e+00,1.1419018395e+00,4.472386e-15,Y
0,0,4.0,x2_thermal,2.2908225892e-01,2.2908225892e-01,1.211599e-16,Y
0,0,4.5,Chapman-Kolmogorov,2.7795249562e-01,2.7795249562e-01,6.191150e-15,Y
0,0,4.5,Spectral_E0,1.1558981782e+00,1.1558981782e+00,5.378717e-15,Y
0,0,4.5,x2_thermal,2.2344275902e-01,2.2344275902e-01,2.484357e-16,Y
0,0,5.0,Chapman-Kolmogorov,2.7618138979e-01,2.7618138979e-01,6.632844e-15,Y
0,0,5.0,Spectral_E0,1.1693830760e+00,1.1693830760e+00,5.506573e-15,Y
0,0,5.0,x2_thermal,2.1834468256e-01,2.1834468256e-01,0.000000e+00,Y
0,0,6.0,Chapman-Kolmogorov,2.7276077424e-01,2.7276077424e-01,4.273834e-15,Y
0,0,6.0,Spectral_E0,1.1950075720e+00,1.1950075720e+00,3.716204e-15,Y
0,0,6.0,x2_thermal,2.0944400970e-01,2.0944400970e-01,1.325203e-16,Y
0,0,7.0,Chapman-Kolmogorov,2.6948876649e-01,2.6948876649e-01,7.621515e-15,Y
0,0,7.0,Spectral_E0,1.2190870965e+00,1.2190870965e+00,6.192762e-15,Y
0,0,7.0,x2_thermal,2.0188371763e-01,2.0188371763e-01,0.000000e+00,Y
0,0,8.0,Chapman-Kolmogorov,2.6635142377e-01,2.6635142377e-01,8.336528e-15,Y
0,0,8.0,Spectral_E0,1.2418540597e+00,1.2418540597e+00,5.721628e-15,Y
0,0,8.0,x2_thermal,1.9534160319e-01,1.9534160319e-01,1.420874e-16,Y
